Year,Anchor,Show
2001,Amitabh Bachchan,Kaun Banega Crorepati
2002,Naseeruddin Shah,Super Selector
2003,Derek O'Brien,Bournvita Quiz Contest
2004,Annu Kapoor,Sansui Antakshri
2005,Amitabh Bachchan,Kaun Banega Crorepati
2006,Amitabh Bachchan,Kaun Banega Crorepati
2007,Arshad Warsi,Bigg Boss 1
2008,Shahrukh Khan,Kya Aap Paanchvi Pass Se Tez Hain ?
2009,Salman Khan,10 Ka Dum
2010,Rajeev Khandelwal,Sacch Ka Saamna
2011,Amitabh Bachchan,Kaun Banega Crorepati
2012,Rajiv Makhni,Tech Grand Masters 2
2013,Amitabh Bachchan,Kaun Banega Crorepati
