Old capital city,Country,Today a part of,From,Until,"Change , reason"
Yaśodharapura ( Angkor ),Khmer Empire,Cambodia,802,1431,Sacked by Ayutthaya
Srey Sorchhor,Cambodia,Cambodia,1431,1434,Move to Chaktomuk ( in 1434 )
Chaktomuk,Cambodia,Cambodia,1434,1525,Move to Longvek ( in 1525 )
Longvek,Cambodia,Cambodia,1525,1593,Move to Oudong ( in 1618 )
Oudong,Cambodia,Cambodia,1620,1863,Move to Phnom Penh ( in 1863 )
Phnom Penh,Colonial Cambodia,Cambodia,1863,1887,annexed by France ; moved to Saigon
Batavia ( Jakarta ),Dutch East Indies,Indonesia,1800,1946,"Allied invasion , moved to Yogyakarta"
Yogyakarta,Dutch East Indies,Indonesia,1946,1947,"Allied invasion , moved to Bukittinggi"
Bukittinggi,Dutch East Indies,Indonesia,1948,1949,moved to Jakarta
Luang Prabang,Lan Prabang,Laos,1707,?,Luang Prabang was one of three successors states to Lan Xang
Luang Prabang,"Laos , Kingdom of",Laos,1949,1975,abdication of King Savang Vatthana ; the second capital
Vientiane,Lan Xang,Laos,1354,?,moved to Luang Prabang
Vientiane,Vientiane Lao,Laos,c. 1707 ( ? ),1828,"incorporated to Siam , then absorbed into French Indochina ( in 1893 )"
Vientiane,Kingdom of Laos,Laos,1949,1975,abdication of King Savang Vatthana
Champasak,Champasak Kingdom,Laos,1713,1946,Became part of Kingdom of Laos
Pagan ( Bagan ),Pagan Kingdom,Myanmar,849,1297,"moved to Myinsaing , Mekkhaya and Pinle"
Martaban ( Mottama ),Hanthawaddy Kingdom,Myanmar,1287,1363,moved to Donwun
Donwun,Hanthawaddy Kingdom,Myanmar,1363,1369,moved to Pegu
Pegu ( Bago ),Hanthawaddy Kingdom,Myanmar,1369,1538,Captured by Toungoo forces
Pegu ( Bago ),Hanthawaddy Kingdom,Myanmar,1550,1552,Recaptured by Toungoo
