States,Rank,GRP ( in billions EUR€ ),Share of GDP (% ),Comparable economy
Germany,-,"3,386",100,-
North Rhine-Westphalia,1,705,21.2,Netherlands
Bavaria,2,625,18.2,Switzerland
Baden-Württemberg,3,511,15.1,Poland
Lower Saxony,4,296,8.8,Denmark
Hesse,5,292,8.6,Denmark
Rhineland-Palatinate,6,149,4.4,Hungary
Berlin,7,147,4.2,Hungary
Saxony,8,126,3.8,Hungary
Hamburg,9,120,3.6,Hungary
Schleswig-Holstein,10,97,2.9,Slovakia
Brandenburg,11,74,2.1,Luxembourg
Thuringia,12,64,1.9,Luxembourg
Saxony-Anhalt,13,64,1.9,Luxembourg
Mecklenburg-Vorpommern,14,45,1.3,Lithuania
Saarland,15,36,1.1,Lithuania
Bremen,16,34,1.0,Latvia
