Character / Team,Year Debuted,Company,Creator/s,First Appearance
Hath-Set,1940 ( January ),DC,"Gardner Fox , Dennis Neville",Flash Comics # 1
Professor Hugo Strange,1940 ( February ),DC,"Bob Kane , Bill Finger",Detective Comics ( vol . 1 ) # 36
Doctor Sivana,1940 ( February ),Fawcett Comics/DC,"Bill Parker , C. C. Beck",Whiz Comics # 2
Lex Luthor,1940 ( April ),DC,"Jerry Siegel , Joe Shuster",Action Comics ( vol . 1 ) # 23
The Joker,1940 ( April ),DC,"Bob Kane , Jerry Robinson , Bill Finger",Batman ( vol . 1 ) # 1
Catwoman,1940 ( April ),DC,"Bob Kane , Bill Finger",Batman ( vol . 1 ) # 1
Tony Zucco,1940 ( April ),DC,"Bob Kane , Bill Finger , Jerry Robinson",Detective Comics ( vol . 1 ) # 38
Clayface,1940 ( June ),DC,"Bob Kane , Bill Finger",Detective Comics ( vol . 1 ) # 40
Scarecrow,1941 ( September ),DC,"Bill Finger , Bob Kane",World 's Finest Comics # 3
Red Skull,1941 ( October ),Marvel/Timely,"Joe Simon , Jack Kirby",Captain America Comics # 1
The Penguin,1941 ( December ),DC,"Bob Kane , Bill Finger",Detective Comics ( vol . 1 ) # 58
Captain Nazi,1941 ( December ),Fawcett Comics/DC,"Bill Woolfolk , Mac Raboy",Master Comics # 21
Ibac,1942 ( March ),Fawcett Comics/DC,"Otto Binder , C. C. Beck",Captain Marvel Adventures # 8
The Puzzler,1942 ( June ),DC,,Action Comics ( vol . 1 ) # 49
Two-Face,1942 ( August ),DC,"Bob Kane , Bill Finger",Detective Comics ( vol . 1 ) # 66
Prankster,1942 ( August ),DC,,Action Comics ( vol . 1 ) # 51
The Shade,1942 ( September ),DC,Gardner Fox,Flash Comics # 33
Rag Doll,1942 ( December ),DC,Gardner Fox,Flash Comics # 36
Sabbac,( Fawcett ) 1943 ; ( DC ) 2004,Fawcett Comics/DC,"( Fawcett ) Otto Binder , Al Carreno ; ( DC ) Judd Winick , Tom Raney","( Fawcett ) Captain Marvel , Jr. # 4 ; ( DC ) Outsiders , vol . 3 # 8"
Mister Mind and the Monster Society of Evil,1943,Fawcett Comics/DC,"Otto Binder , C. C. Beck",Captain Marvel Adventures # 22
