Scientific name,Common name,Classified,Conservation status
Alouatta coibensis,Coiba Island howler,1902 Thomas,vulnerable
Alouatta palliata,Mantled howler,1849 Gray,least concern
Alouatta pigra,Guatemalan black howler,1933 Lawrence,endangered
Alouatta belzebul,Red-handed howler,1766 Lawrence,vulnerable
Alouatta guariba,Brown howler,1812 Humboldt,least concern
Alouatta macconnelli,Guyanan red howler,1766 Linnaeus,least concern
Alouatta nigerrima,Amazon black howler,1942 Lönnberg,least concern
Alouatta sara,Bolivian red howler,1910 Elliot,least concern
Alouatta seniculus,Venezuelan red howler,1766 Linnaeus,least concern
Alouatta caraya,Black howler,1812 Humboldt,least concern
