Name,Location,Year,Size
Spencer Plaza,Mount Road,1863,"250,000 sq ft ( 23,000 m )"
Alsa Mall,"Montieth Road , Egmore",1998,
Abhirami Mega Mall,Purasawalkam,2003,
Mayajaal,"Kanathur , East Coast Road",2006,"30,000 sq ft ( 2,800 m )"
Chennai Citi Centre,"Dr.Radhakrishnan Salai , Mylapore",2006,"117,600 sq ft ( 10,930 m )"
Ampa Skywalk,"Poonamallee High Road , Aminjikarai",2009,"650,000 sq ft ( 60,000 m )"
Express Avenue,"Whites Road , Royapettah",2010,"1,500,000 sq ft ( 140,000 m )"
Chandra Mall,"Arcot road , Virugambakkam",2011,"143,130 sq ft ( 13,297 m )"
Coromandel Plaza,"Navalur , OMR",2011,"300,000 sq ft ( 28,000 m )"
Spectrum Mall,"Paper Mills Road , Perambur",2011,"160,000 sq ft ( 15,000 m )"
Ramee Mall,"Anna Salai , Teynampet",2012,"225,000 sq ft ( 20,900 m )"
Bergamo,"Khader Nawaz Khan Road , Nungambakkam",2012,"40,000 sq ft ( 3,700 m )"
Gold Souk Grandé Mall Chennai,"GST Road , Vandalur",2015,"800,000 sq ft ( 74,000 m )"
Phoenix Market City ( Chennai ),Velachery,2013,"2,400,000 sq ft ( 220,000 m )"
Forum Vijaya Mall,"Arcot road , Vadapalani",2013,"700,000 sq ft ( 65,000 m )"
VR Chennai,"Inner Ring Road , Anna Nagar West",2018,"2,000,000 sq ft ( 190,000 m )"
