Year,Artist,Song,Language,Place,Points
2005,Vladislav Krutskikh,Doroga k solntsu ( Дорога к солнцу ),Russian,9,66
2006,Tolmachevy Twins,Vesenniy jazz ( Весенний джаз ),Russian,1,154
2007,Alexandra Golovchenko,Otlichnitsa ( Отличница ),Russian,6,105
2008,Mikhail Puntov,Spit angel ( Спит ангел ),Russian,7,73
2009,Ekaterina Ryabova,Malenkiy prints ( Маленький принц ),Russian,2,116
2010,Liza Drozd & Sasha Lazin,Boy and Girl,"Russian , English",2,119
2011,Ekaterina Ryabova,Romeo and Juliet,Russian,4,99
2012,Lerika,Sensation,"Russian , English",4,88
2013,Dayana Kirillova,Dream On,Russian,4,106
2014,Alisa Kozhikina,Dreamer,"Russian , English",5,96
2015,Mikhail Smirnov,Mechta ( Dream ) ( Мечта ),"Russian , English",6,80
2016,Water of Life Project,Water of Life,"Russian , English",4,202
2017,Polina Bogusevich,Wings,"Russian , English",1,188
2018,Anna Filipchuk,Unbreakable,"Russian , English",10,122
2019,Tatyana Mezhentseva and Denberel Oorzhak,A Time for Us,"Russian , English",13,72
