US,Album,Artist,Record Label
75,"America , I Believe in You",Charlie Daniels,Liberty
51,The Beverly Hillbillies Soundtrack,Various Artists,Fox
,Country Dance Mixes,Various Artists,Atlantic
55,Delta Dreamland,Deborah Allen,Giant
,Dr. Stompin ' Tom…Eh ?,Stompin ' Tom Connors,EMI
29,Final Touches,Conway Twitty,MCA Nashville
51,Good News,Kathy Mattea,Mercury/PolyGram
60,Greatest Hits,Patty Loveless,MCA Nashville
31,Greatest Hits : Songs from an Aging Sex Bomb,K. T. Oslin,RCA Nashville
46,Heroes,Mark O'Connor,Warner Bros
30,High-Tech Redneck,George Jones,MCA Nashville
53,Hurry Sundown,McBride & the Ride,MCA Nashville
28,Jingle Bell Rock,Brenda Lee,MCA
,Kick Along with Stompin ' Tom,Stompin ' Tom Connors,EMI
56,Let Go,Brother Phelps,Asylum
37,Ricky Lynn Gregg,Ricky Lynn Gregg,Liberty
67,Shania Twain,Shania Twain,Mercury/PolyGram
61,Shawn Camp,Shawn Camp,Reprise
27,Something Up My Sleeve,Suzy Bogguss,Liberty
62,Spinning Around the Sun,Jimmie Dale Gilmore,Elektra
