Year,Place,Dates
1970,Dvůr Králové nad Labem,
1993,Jablonec nad Nisou,3-4 July
1994,Jablonec nad Nisou,9-10 July
1995,Ostrava,5-6 July
1996,Prague,7-8 September
1997,Třinec,5-6 July
1998,Jablonec nad Nisou,11-12 July
1999,Ostrava,26-27 June
2000,Plzeň,15-16 July
2001,Jablonec nad Nisou,30 June-1 July
2002,Ostrava,19-21 July
2003,Olomouc,11-13 July
2004,Plzeň,25-26 June
2005,Kladno,2-3 July
2006,Prague,24-25 June
2007,Třinec,30 June-1 July
2008,Tábor,4-5 July
2009,Prague,27-28 June
2010,Třinec,17-18 July
2011,Brno,2-3 July
