Constituency,Candidate,Votes,%,Position
Aberdeen North,Fraser Macintosh,"3,871",11.1,3
Bradford East,Fred Jowett,"8,983",26.7,2
Camborne,Kate Spurrell,592,1.9,4
Chorley,Robert Edwards,"1,365",3.3,3
Clackmannan and Eastern Stirlingshire,David Gibson,"1,513",4.3,4
Glasgow Bridgeton,James Maxton,"17,691",65.0,1
Glasgow Camlachie,Campbell Stephen,"15,070",47.1,1
Glasgow Gorbals,George Buchanan,"22,860",75.0,1
Glasgow Govan,Tom Taylor,"4,959",16.0,3
Glasgow Shettleston,John McGovern,"18,377",52.8,1
Glasgow Tradeston,James Carmichael,"3,423",13.2,3
Kilmarnock,John Pollock,"3,582",10.2,3
Lanark,William Carlin,"2,583",8.3,3
Merthyr,Claude Stanfield,"9,640",32.0,2
North Lanarkshire,Jennie Lee,"17,267",37.3,2
Norwich,Fenner Brockway,"6,737",5.4,5
Whitehaven,Tom Stephenson,"1,004",3.3,3
