Club,Home city,Stadium,Founded,Joined PRSL
Academia Quintana,San Juan,Hiram Bithorn Stadium,1969,2008
CA Levittown,Levittown,,1989,
Ballista FC,Luquillo,Complejo Deportivo Jose Salaman Estrella,2016,2016
Bayamon FC B,Bayamón,Estadio Juan Ramón Loubriel,2009,2009
Caguas Sporting FC,Caguas,Complejo Deportivo Ángel O. Berrios de la Ciudad Criolla,2016,2016
Fénix FC,Vega Baja,Complejo Deportivo Tortuguero,2001,2010
Mayagüez FC,Mayagüez,Mayagüez Athletics Stadium,2003,2010
Huracán FC Caguas,Caguas,Yldefonso Solá Morales Stadium,1991,2008
Metropolitan FA,San Juan,Estadio Metropolitano del Reparto Metropolitano,2015,2015
Yabuco Isabela FC,Yabucoa,,2016,2016
