,Name on the Register,Date listed,Location,City or town
1,Alice,"June 14 , 1984 ( # 84001291 )",Along LA 87 about 2.3 miles ( 3.7 km ) northwest of Jeanerette 29°56′14″N 91°41′12″W / 29.93714°N 91.68673°W / 29.93714 ; -91.68673 ( Alice ),Jeanerette
2,Avery Island,"September 4 , 2018 ( # 100002249 )",LA 329 29°53′00″N 91°54′00″W / 29.8833°N 91.9°W / 29.8833 ; -91.9 ( Avery Island ),Avery Island
3,Bayside,"January 29 , 1987 ( # 86003747 )","Along LA 87 , about 1.7 miles ( 2.7 km ) northwest of Jeanerette , Louisiana 29°55′55″N 91°40′47″W / 29.93204°N 91.67984°W / 29.93204 ; -91.67984 ( Bayside )",Jeanerette
4,Amand Broussard House,"June 9 , 1980 ( # 80001729 )",1400 East Main Street 29°59′42″N 91°47′50″W / 29.99505°N 91.79731°W / 29.99505 ; -91.79731 ( Amand Broussard House ),New Iberia
5,Conrad Rice Mill,"November 10 , 1982 ( # 82000437 )",307 Ann Street 29°59′53″N 91°48′40″W / 29.998°N 91.81104°W / 29.998 ; -91.81104 ( Conrad Rice Mill ),New Iberia
6,Downtown New Iberia Commercial Historic District,"December 13 , 2017 ( # 100001710 )","Roughly bounded by Fulton Street , Burke Street , Weeks Street , St. Peter Street and Jefferson Street 30°00′23″N 91°49′10″W / 30.00625°N 91.81946°W / 30.00625 ; -91.81946 ( Downtown New Iberia Commercial Historic District )",New Iberia
7,Dulcito Plantation House,"July 22 , 1994 ( # 94000742 )",5918 West Old Spanish Trail ( LA 182 ) 30°03′53″N 91°52′38″W / 30.0647°N 91.87722°W / 30.0647 ; -91.87722 ( Dulcito Plantation House ),New Iberia
8,East Main Street Historic District,"July 28 , 1983 ( # 83000507 )","East Main Street , Lee Street , Ann Street and Philip Street 30°00′06″N 91°48′40″W / 30.00154°N 91.81124°W / 30.00154 ; -91.81124 ( East Main Street Historic District )",New Iberia
9,Enterprise Plantation,"March 17 , 1975 ( # 75000848 )","About 3.5 miles ( 5.6 km ) west of Jeanerette , off US 90 29°54′28″N 91°43′19″W / 29.90778°N 91.72194°W / 29.90778 ; -91.72194 ( Enterprise Plantation )",Jeanerette
10,Episcopal Church of the Epiphany,"April 29 , 1977 ( # 77000670 )",303 West Main Street 30°00′31″N 91°49′17″W / 30.00866°N 91.8213°W / 30.00866 ; -91.8213 ( Episcopal Church of the Epiphany ),New Iberia
11,Auguste Erath Building,"October 5 , 1995 ( # 95001156 )",333-335 West St. Peter Street 30°00′31″N 91°49′22″W / 30.00863°N 91.8229°W / 30.00863 ; -91.8229 ( Auguste Erath Building ),New Iberia
12,Evangeline Theater,"February 18 , 1999 ( # 99000234 )",129 East Main Street 30°00′19″N 91°49′02″W / 30.00528°N 91.81736°W / 30.00528 ; -91.81736 ( Evangeline Theater ),New Iberia
13,First United Methodist Church,"November 16 , 1989 ( # 89002002 )",119 Jefferson Street 30°00′29″N 91°49′17″W / 30.00794°N 91.82149°W / 30.00794 ; -91.82149 ( First United Methodist Church ),New Iberia
14,Hewes House,"January 19 , 2005 ( # 04001515 )",1617 Main Street 29°55′04″N 91°40′12″W / 29.91771°N 91.67002°W / 29.91771 ; -91.67002 ( Hewes House ),Jeanerette
15,Joseph Jefferson House,"June 4 , 1973 ( # 73000867 )","End of Rip Van Winkle Road , about 2 miles ( 3.2 km ) north of Delcambre 29°58′32″N 91°58′25″W / 29.97542°N 91.97365°W / 29.97542 ; -91.97365 ( Joseph Jefferson House )",Jefferson Island
16,LeJeune 's Bakery,"April 22 , 2003 ( # 03000287 )",1510 Main Street 29°54′59″N 91°40′04″W / 29.91644°N 91.66791°W / 29.91644 ; -91.66791 ( LeJeune 's Bakery ),Jeanerette
17,Lutzenberger Foundry and Pattern Shop Building,"March 12 , 1998 ( # 98000228 )",502 and 505 Jane Street 30°00′43″N 91°49′19″W / 30.01186°N 91.82184°W / 30.01186 ; -91.82184 ( Lutzenberger Foundry and Pattern Shop Building ),New Iberia
18,The Magnolias,"December 6 , 1979 ( # 79001065 )",115 Jefferson Street 30°00′29″N 91°49′16″W / 30.00801°N 91.82112°W / 30.00801 ; -91.82112 ( The Magnolias ),New Iberia
19,Mintmere,"June 6 , 1980 ( # 80001730 )",1400 East Main Street 29°59′44″N 91°47′50″W / 29.99569°N 91.79713°W / 29.99569 ; -91.79713 ( Mintmere ),New Iberia
20,NEW IBERIA ( steamboat ) shipwreck,"December 24 , 2008 ( # 08001214 )",Address restricted,New Iberia
