Title,Year,Other artist ( s ),Album
This Is How It Goes Down,2008,Pink,Funhouse
Overdose,2008,"Mickey Factz , Drake",The Leak Vol . 2 : The Inspiration
"What a Catch , Donnie",2008,Fall Out Boy,Folie à Deux
Grand Groove,2009,"J.J. Brown , Dezmatic",Connect the Dots !
Chelsea Smile,2009,Bring Me the Horizon,Suicide Season : Cut Up !
Yeah Yeah,2010,Cheryl Cole,Messy Little Raindrops
Bad,2010,Rich Hil,Limosa Nostra v.1
When I Approach,2011,"Livin , Joe Budden",City Of Brotherly Love
The Way You Watch Me,2011,The Saturdays,On Your Radar
I 'll Never Be,2012,"T-Pain , Tay Dizm",Stoic
