Year,First,Second,Third
2004,Mirjam Melchers,Leontien Van Moorsel,Arenda Grimberg
2005,Anita Valen De Vries,Trixi Worrack,Arenda Grimberg
2006,Theresa Senff,Marianne Vos,Suzanne de Goede
2007,Marianne Vos,Susanne Ljungskog,Andrea Graus
2008,Larissa Kleinmann,Elisabeth Braam,Vera Koedooder
2009,Marianne Vos,Petra Dijkman,Emma Johansson
2010,Grace Verbeke,Chantal Blaak,Iris Slappendel
2011,Marianne Vos,Marieke van Wanroij,Jessie Daams
2012,Annemiek van Vleuten,Marianne Vos,Sharon Laws
2013,Ashleigh Moolman,Annemiek van Vleuten,Lizzie Armitstead
2014,Emma Johansson,Ellen van Dijk,Amy Pieters
2015,Lizzie Armitstead,Emma Johansson,Katarzyna Niewiadoma
2016,Lizzie Armitstead,Annemiek van Vleuten,Ashleigh Moolman
