Person,Party,Country
Alois Mock,Austrian People 's Party,Austria
Margaret Thatcher,Conservative Party,United Kingdom
Helmut Kohl,Christian Democratic Union of Germany,Germany
Franz Josef Strauss,Christian Social Union in Bavaria,Germany
Jacques Chirac,Rally for the Republic,France
Andrew Peacock,Liberal Party of Australia,Australia
Evangelos Averoff-Tossizza,New Democracy,Greece
Fraga Iribarne,People 's Alliance,Spain
Oscar Alzaga,People 's Democratic Party,Spain
Susanne Wood,New Zealand National Party,New Zealand
Glafcos Clerides,Democratic Rally,Cyprus
Ilkka Suominen,National Coalition Party,Finland
Lucas Pires,CDS - People 's Party,Portugal
Tatsuo Tanaka [ ja ],Liberal Democratic Party,Japan
Ulf Adelsohn,Moderate Party,Sweden
Erik Nielsen,Progressive Conservative Party of Canada,Canada
Poul Schlüter,Conservative People 's Party,Denmark
Jo Benkow,Conservative Party,Norway
Frank Fahrenkopf,Republican Party,United States
