Name,Origin,Description
Malai,India,"Similar to clotted cream . It is made by heating non-homogenized whole milk to about 80 °C ( 180 °F ) for about one hour and then allowing to cool . Malai develops as a layer on the top of the cooled milk , which is then collected and stored layer by layer"
Malaiyo,India,"Native exclusively to Varanasi in the Indian State of Uttar Pradesh . It is only available during the Winter and spring season . It is made by boiling full cream Milk to half and thereafter adding sugar and Saffron . The mixture is kept in an earthen pot with its mouth covered with silk/cotton cloth . The pot is left on rooftop and exposed to the dew overnight . The following morning the milk is churned extensively by hand-held/mechanical blender . This blending develops a frothy/cloudy milk desert which is elegant in taste . Almonds , pistachios , Cashews and other dry fruits are added as garnish and served"
Matzoon,Armenia,"A fermented milk product of Armenian origin made from cow 's milk ( mostly ) , goat 's milk , sheep 's milk , or a mix of them and a culture from previous productions . In Georgia it is known as matsoni"
Milk,,A white liquid produced by the mammary glands of mammals . It is the primary source of nutrition for young mammals before they are able to digest other types of food . See also Milkshake
Milk skin,,"A sticky film of protein that forms on top of milk and milk-containing liquids ( such as hot chocolate and some soups ) . It is caused by the denaturation of proteins such as casein . In Japan , a dairy product called So was made from layers of milk skin during the 7th-10th centuries"
Míša,Czech Republic,A popular Czech confection made with frozen cream cheese
Mitha Dahi,,"A fermented sweet dahi or sweet yogurt . This type of yogurt is common in the states of West Bengal and Odisha in India , and in Bangladesh"
Mozzarella,Italy,Made from buffalo milk
Moose milk,,"Pictured is a milkmaid collecting moose milk at Kostroma Moose Farm in Kostroma Oblast , Russia"
Mursik,Kenya,"A basic element of the cuisine of the Kalenjin people of Kenya . Made from curdled dairy products cooked in a specially made gourd container , it is commonly served at dinner"
