Original NFL team,Player,Pos,College,Conf
Arizona Cardinals,Tim Castille,FB,Alabama,SEC
Arizona Cardinals,David Holloway,LB,Maryland,ACC
Arizona Cardinals,Lyle Sendlein,C,Texas,Big 12
Atlanta Falcons,Kurt Quarterman,G,Louisville,Big East
Atlanta Falcons,Eric Weems,WR / KR,Bethune-Cookman,MEAC
Carolina Panthers,Quinton Teal,DB,Coastal Carolina,Big South
Chicago Bears,Fontel Mines,TE,Virginia,ACC
Cincinnati Bengals,Daniel Coats,TE,BYU,MWC
Cleveland Browns,Charles Ali,FB,Arkansas-Pine Bluff,SWAC
Dallas Cowboys,Richard Bartel,QB,Tarleton State,
Dallas Cowboys,Matt Moore,QB,Oregon State,Pac-10
Denver Broncos,Roderick Rogers,CB,Wisconsin,Big Ten
Green Bay Packers,Daniel Muir,NT,Kent State,MAC
Houston Texans,Darius Walker,RB,Notre Dame,Ind . ( FBS )
Indianapolis Colts,Melvin Bullitt,S,Texas A & M,Big 12
Indianapolis Colts,Ed Johnson,DT,Penn State,Big Ten
Indianapolis Colts,Gijon Robinson,FB,Missouri Western,MIAA
Jacksonville Jaguars,Brett Goode,LS,Arkansas,SEC
Kansas City Chiefs,Nate Harris,LB,Louisville,Big East
Miami Dolphins,Tuff Harris,S,Montana,Big Sky
