Rank,Airport 1,Airport 2,Passengers ( 2017 )
1,Buenos Aires,Córdoba,"1,368,000"
2,Buenos Aires - Aeroparque,Bariloche,"1,005,000"
3,Buenos Aires - Aeroparque,Mendoza,"880,000"
4,Buenos Aires - Aeroparque,Iguazú,"841,000"
5,Buenos Aires - Aeroparque,Salta,"828,000"
6,Buenos Aires - Aeroparque,Neuquén,"722,000"
7,Buenos Aires - Aeroparque,Tucumán,"501,000"
8,Buenos Aires - Aeroparque,Ushuaia,"490,000"
9,Buenos Aires - Aeroparque,Comodoro Rivadavia,"462,000"
10,Buenos Aires - Aeroparque,El Calafate,"383,000"
