Name,Area,Established,Location
Apo Reef,"15,792.00 ha ( 39,022.9 acres )",1996,Occidental Mindoro
Balinsasayao Twin Lakes,"8,016.05 ha ( 19,808.1 acres )",2000,Negros Oriental
Bicol,"5,201.00 ha ( 12,852.0 acres )",2000,Camarines Norte Camarines Sur
Bongsanglay,244.72 ha ( 604.7 acres ),2000,Masbate
Bulusan Volcano,"3,672.00 ha ( 9,073.7 acres )",2000,Sorsogon
Kalbario-Patapat,"3,800.00 ha ( 9,390.0 acres )",2007,Ilocos Norte
Lake Danao,"2,193.00 ha ( 5,419.0 acres )",1998,Leyte
Mahagnao Volcano,"635.00 ha ( 1,569.1 acres )",1998,Leyte
Mayon Volcano,"5,775.70 ha ( 14,272.1 acres )",2000,Albay
Mount Apo,"54,974.87 ha ( 135,845.9 acres )",1936,Davao del Sur Cotabato
Mount Balatukan Range,"8,423.00 ha ( 20,813.7 acres )",2007,Misamis Oriental
Mount Guiting-Guiting,"15,265.48 ha ( 37,721.8 acres )",1996,Romblon
Mount Inayawan Range,"3,632.74 ha ( 8,976.7 acres )",2007,Lanao del Norte
Mount Isarog,"10,112.35 ha ( 24,988.2 acres )",2002,Camarines Sur
Mount Kalatungan Range,"21,247.73 ha ( 52,504.3 acres )",2000,Bukidnon
Mount Kanlaon,"24,388.00 ha ( 60,264.1 acres )",1997,Negros Occidental Negros Oriental
Mount Kitanglad Range,"31,235.19 ha ( 77,183.8 acres )",1996,Bukidnon
Mount Malindang,"34,694.00 ha ( 85,730.7 acres )",2002,Misamis Occidental
Northern Negros,"80,454.50 ha ( 198,807.4 acres )",2002,Negros Occidental
Northern Sierra Madre,"359,486.00 ha ( 888,309.3 acres )",1997,Isabela
