Field name,FAA ID,Location,Naval air station
Barin,NBJ,"Foley , Alabama",Whiting Field
Cabaniss Field,NGW,"Corpus Christi , Texas",Corpus Christi
Choctaw,NFJ,"Milton , Florida",Whiting Field
Coupeville,NRA,"Coupeville , Washington",Whidbey Island
Holley,NKL,"Navarre , Florida",Whiting Field
Imperial Beach,NRS,"Imperial Beach , California",North Island
Joe Williams,NJW,"Meridian , Mississippi",Meridian
Pace,NVI,"Wallace , Florida",Whiting Field
San Nicolas Island,NSI,"San Nicolas Island , California",Point Mugu
Santa Rosa,NGS,"Milton , Florida",Whiting Field
Saufley Field,NUN,"Pensacola , Florida",Whiting Field
Spencer Field,NRQ,"Pace , Florida",Whiting Field
Summerdale,NFD,"Summerdale , Alabama",Whiting Field
Webster,NUI,"St. Inigoes , Maryland",Patuxent River
Whitehouse,NEN,"Jacksonville , Florida",Jacksonville
