Title,Year,Role,Director
Ritu,2009,Jamal,Shyamaprasad
Chatak,2009,,Reema Borah
Apoorvaragam,2010,Narayanan,Sibi Malayil
Anwar,2010,Abu,Amal Neerad
Kadaksham,2010,,
The Blueberry Hunt,2010,,Anup Kurian
Veettilekulla Vazhi,2011,Terrorist Leader in Ajmeer,Dr. Biju
Kanakompathu,2011,Jose,Mahadevan
Veeraputhran,2011,,P. T. Kunju Muhammed
Karmayogi,2011,Kooman,V. K. Prakash
Navagatharkku Swagatham,2011,Aravindan,Jayakrishna Karanavar
Prabhuvinte Makkal,2012,Siddharthan,Sajeev Anthikad
Theevram,2012,Ramachandran,Roopesh Peethambaran
Da Thadiya,2012,Shathanu,Aashiq Abu
Shutter,2012,Nanmayil Suran,Joy Mathew
Karma Cartel,2013,Sidth,Vinod Bharathan
7th Day,2014,Shan Shahar,Shyam Dhar
How Old Are You,2014,Jayachandran,Rosshan Andrrews
Manglish,2014,Ambu,Salam Bappu
Masala Republic,2014,Dixon,
