Year,Title,Role
1988,Clara 's Heart,David Hart
1988,Purple People Eater,Billy Johnson
1995,Animal Room,Arnold Mosk
1997,Starship Troopers,Carl Jenkins
1998,The Proposition,Roger Martin
2000,The Next Best Thing,David
2002,The Mesmerist,Benjamin
2002,Undercover Brother,Lance
2004,Harold & Kumar Go to White Castle,Himself
2005,The Golden Blaze,The Comic Shop Owner
2008,Harold & Kumar Escape from Guantanamo Bay,Himself
2008,Beyond All Boundaries,1st Lt. David Hettema ( voice )
2008,Justice League : The New Frontier,Barry Allen / The Flash ( voice )
2009,Cloudy with a Chance of Meatballs,Steve the Monkey ( voice )
2010,Cats & Dogs : The Revenge of Kitty Galore,Lou the Beagle ( voice )
2010,The Best and the Brightest,Jeff
2010,Batman : Under the Red Hood,Dick Grayson / Nightwing ( voice )
2011,Beastly,Will Fratalli
2011,The Smurfs,Patrick Winslow
2011,A Very Harold & Kumar 3D Christmas,Himself
