#,Autonomous community,EUR ( 2017 ),US $,Comparable country
-,Spain,"25,095","28,359",Kuwait
1,Community of Madrid,"33,809","38,206",Japan
2,Basque Country,"33,088","37,391",United Arab Emirates
3,Navarre,"30,914","34,934",United Arab Emirates
4,Catalonia,"29,936","33,829",Italy
5,Aragon,"27,403","30,967",Bahamas
6,La Rioja,"26,044","29,431",Brunei
7,Balearic Islands,"25,772","29,124",Brunei
8,Castile and León,"23,555","26,618",Malta
9,Cantabria,"22,513","25,441",Cyprus
10,Galicia,"22,497","25,423",Cyprus
11,Valencian Community,"22,055","24,923",Cyprus
12,Asturias,"22,046","24,913",Cyprus
13,Region of Murcia,"20,585","23,262",Slovenia
14,Canary Islands,"20,425","23,081",Slovenia
15,Castile-La Mancha,"19,681","22,241",Portugal
16,Ceuta,"19,524","22,063",Portugal
17,Andalusia,"18,470","20,872",Saudi Arabia
18,Melilla,"17,945","20,279",Czech Republic
19,Extremadura,"17,262","19,507",Estonia
