Club,League/Division,Lvl,State,City
Dandenong City,National Premier Leagues Victoria 2,3,Victoria,Melbourne
Dandenong South,Victorian State League Division 4,7,Victoria,Melbourne
Dandenong Thunder,National Premier Leagues Victoria 2,3,Victoria,Melbourne
Dandenong Warriors,Victorian State League Division 5,8,Victoria,Melbourne
Darebin United,Victorian State League Division 4,7,Victoria,Melbourne
Darwin Hearts,Northern Zone All Age,3,Northern Territory,Darwin
Darwin Olympic,NorZone Premier League,2,Northern Territory,Darwin
Darwin Rovers,NorZone Premier League,2,Northern Territory,Darwin
Deakin University,Victorian State League Division 5,8,Victoria,Melbourne
Derwent United,Southern Conference,4,Tasmania,Hobart
Devonport,National Premier Leagues Tasmania,2,Tasmania,Devonport
Diamond Valley United,Victorian State League Division 2,5,Victoria,Melbourne
Dianella White Eagles,Football West State League Division 1,3,Western Australia,Perth
Dingley Stars,Victorian State League Division 3,6,Victoria,Melbourne
Doncaster Rovers,Victorian State League Division 2,5,Victoria,Melbourne
DOSA,Southern Conference 1,5,Tasmania,Hobart
Doveton,Victorian State League Division 2,5,Victoria,Melbourne
Drouin Dragons,Victorian State League Division 5,8,Victoria,Drouin
Dulwich Hill,National Premier Leagues NSW 3,4,New South Wales,Sydney
Dunbar Rovers,National Premier Leagues NSW 3,4,New South Wales,Sydney
