Name,Address,City,State/country,Website
Ape Cognition and Conservation Initiative,-,Des Moines,Iowa,Website
Audubon Nature Institute Center for Research of Endangered Species,6500 Magazine Street,New Orleans,Louisiana,Website
B. Bryan Preserve,130 Riverside Drive,Point Arena,California,Website
Colorado Wolf & Wildlife Center,4729 Twin Rocks Road,Divide,Colorado,Website
Duke Lemur Center,3705 Erwin Rd,Durham,North Carolina,Website
The Elephant Sanctuary ( Hohenwald ),27 E Main St,Hohenwald,Tennessee,Website
Endangered Wolf Center,6750 Tyson Valley Road,Eureka,Missouri,Website
International Exotic Animal Sanctuary,3901 Highway 114,Boyd,Texas,Website
Lemur Conservation Foundation,-,Myakka City,Florida,Website
Lubee Bat Conservancy,1309 NW 192nd Ave,Gainesville,Florida,Website
"Natural Encounters , Inc",127 Conservation Way,Winter Haven,Florida,Website
Pinola Conservancy,-,-,Louisiana,Website
Turtle Conservancy,-,Ojai,California,Website
Turtle Survival Center,-,Charleston,South Carolina,Website
White Oak Conservation,581705 White Oak Road,Yulee,Florida,Website
