Year,Title,Role
1994,Strange and Rich,Walter Hoade
1998,Saving Private Ryan,Pvt . James Frederick Minnesota Ryan
1999,Blast from the Past,Cliff
2000,Dracula 2000,Father David
2003,Water 's Edge,Robert Graves
2004,Outing Riley,Luke Riley
2005,Serenity,Malcolm Mal Reynolds
2006,Slither,Bill Pardy
2007,White Noise 2 : The Light,Abe Dale
2007,Waitress,Dr. Jim Pomatter
2008,Trucker,Runner
2009,Wonder Woman,Steve Trevor ( voice )
2010,Super,The Holy Avenger
2011,Green Lantern : Emerald Knights,Hal Jordan / Green Lantern ( voice )
2012,Justice League : Doom,Hal Jordan / Green Lantern ( voice )
2012,Much Ado About Nothing,Dogberry
2013,Monsters University,Johnny Worthington III ( voice )
2013,Justice League : The Flashpoint Paradox,Hal Jordan / Green Lantern ( voice )
2013,Percy Jackson : Sea of Monsters,Hermes
2014,Party Central,Johnny Worthington III ( voice )
