Medal,Name,Sport,Event,Date
Gold,Usain Bolt,Athletics,Men 's 100 m,August 16
Gold,Shelly-Ann Fraser,Athletics,Women 's 100 m,August 17
Gold,Usain Bolt,Athletics,Men 's 200 m,August 20
Gold,Melaine Walker,Athletics,Women 's 400 m hurdles,August 20
Gold,Veronica Campbell-Brown,Athletics,Women 's 200 m,August 21
Silver,Sherone Simpson,Athletics,Women 's 100 m,August 17
Silver,Kerron Stewart,Athletics,Women 's 100 m,August 17
Silver,Shericka Williams,Athletics,Women 's 400 m,August 19
Silver,Bobby-Gaye Wilkins * Shereefa Lloyd Rosemarie Whyte Novlene Williams Shericka Williams,Athletics,Women 's 4 × 400m relay,August 23
Bronze,Kerron Stewart,Athletics,Women 's 200 m,August 21
Bronze,Chelsea Hammond,Athletics,Women 's long jump,August 22
