Pos,No,Driver,Constructor,Time,Gap
1,4,Alberto Ascari,Ferrari,4:37.0,-
2,2,Nino Farina,Ferrari,4:40.0,+ 3.0
3,6,Piero Taruffi,Ferrari,4:46.0,+ 9.0
4,14,Robert Manzon,Gordini,4:52.0,+ 15.0
5,16,Jean Behra,Gordini,4:56.0,+ 19.0
6,8,Mike Hawthorn,Cooper - Bristol,4:58.0,+ 21.0
7,36,Ken Wharton,Frazer Nash - Bristol,5:01.0,+ 24.0
8,28,Paul Frère,HWM - Alta,5:05.0,+ 28.0
9,10,Alan Brown,Cooper - Bristol,5:07.0,+ 30.0
10,32,Stirling Moss,ERA - Bristol,5:07.6,+ 30.6
11,26,Peter Collins,HWM - Alta,5:09.0,+ 32.0
12,12,Eric Brandon,Cooper - Bristol,5:11.0,+ 34.0
13,34,Charles de Tornaco,Ferrari,5:14.5,+ 37.5
14,24,Lance Macklin,HWM - Alta,5:17.1,+ 40.1
15,40,Robin Montgomerie-Charrington,Aston Butterworth,5:19.3,+ 42.3
16,42,Tony Gaze,HWM - Alta,5:22.8,+ 45.8
17,22,Louis Rosier,Ferrari,5:25.7,+ 48.7
18,20,Prince Bira,Simca-Gordini - Gordini,5:28.4,+ 51.4
19,18,Johnny Claes,Gordini,5:31.1,+ 54.1
20,30,Roger Laurent,HWM - Alta,5:37.9,+ 60.9
