Name,Chapter,Notability
Roberta Alison,Gamma Pi,"Professional tennis player , runner-up at the 1965 Cincinnati Masters"
Kristin Armstrong,Beta Kappa,"Cyclist , two-time Olympic gold medalist in the individual time trial in 2008 and 2012"
Peggy Kirk Bell,Delta Epsilon,"Professional golfer , won the 1949 Titleholders Championship"
Patty Berg,Chi,"Professional golfer and a founding member of Ladies Professional Golf Association ( LPGA ) , inductee of the World Golf Hall of Fame"
Jane Blalock,Delta Epsilon,"Professional golfer , member of the LPGA"
Doris Hart,Delta Kappa,"Professional tennis player , won the U.S. Women 's Open in 1954 and 1955 , inductee of the International Tennis Hall of Fame"
Kelley O'Hara,Beta Eta Deuteron,"Professional soccer player , Sky Blue FC . Olympic gold medalist with the U.S. Women 's National Team at the London games in 2012 . 2015 and 2019 FIFA Women 's World Cup Champion"
Helen Wills Roarke,Pi,"Professional tennis player , won the French Championships four times , the U.S. Championships seven times , and Wimbledon eight times"
Betty Robinson Schwartz,Upsilon,"Received the gold for the 100 m at the 1928 Olympics , and again at the 1936 Olympics for the 4 × 100 m relay"
Hollis Stacy,Delta Epsilon,"Professional golfer , won the U.S. Women 's Open in 1977 , 1978 , and 1984"
Donna de Varona,Gamma Xi,"Swimmer , received two golds at the 1964 Olympics , and again at the 1963 Pan American Games"
Sharon Weber,Beta Nu,"Gymnast , judge at the 1984 Summer Olympics"
Beth Whittall,Gamma Delta,"Canadian swimmer , won the Lou Marsh Trophy"
Hazel Hotchkiss Wightman,Pi,"Professional tennis player , won the U.S. Championships in 1909 , 1910 , 1911 , and 1919"
Genevra ( Gevvie ) Stone,Zeta Phi,"Rower , Single Sculls , competed in London 2012 , earned Silver medal in Rio 2016"
Eleanor ( Elle ) Logan,Beta Eta Deuteron,"Rower , first American rower to win a gold medal in three consecutive Olympics ( 2008 , 2012 , 2016 )"
