Name,Type,Elevation ( m ),Elevation ( ft ),Last eruption date,Location
Medicine Lake Volcano,Shield volcano,"2,412","7,913",1260 ± 40 years,41°21′47″N 121°19′48″W / 41.363°N 121.33°W / 41.363 ; -121.33
Rainbow Mountain,Stratovolcano,"2,322","7,619",-,41°28′26″N 121°57′22″W / 41.474°N 121.956°W / 41.474 ; -121.956
Mount Shasta,Stratovolcano,"4,317","14,163",1786,41°24′32″N 122°11′35″W / 41.409°N 122.193°W / 41.409 ; -122.193
Shastina,Stratovolcano,"3,758","12,330",-,41°24′N 122°13′W / 41.40°N 122.22°W / 41.40 ; -122.22
Black Butte,Lava dome,"1,902","6,242","9,000-10,000 BP",41°21′47″N 122°20′53″W / 41.363°N 122.348°W / 41.363 ; -122.348
Brushy Butte,Shield volcano,"1,174","3,852",Unknown,41°10′41″N 121°26′35″W / 41.178°N 121.443°W / 41.178 ; -121.443
Big Cave,Shield volcano,"1,259","4,131",Unknown,40°57′18″N 121°21′54″W / 40.955°N 121.365°W / 40.955 ; -121.365
Twin Buttes,Cinder cones,"1,631","5,351",Unknown,40°46′37″N 121°35′28″W / 40.777°N 121.591°W / 40.777 ; -121.591
Tumble Buttes,Cinder cones,"2,191","7,188",Unknown,40°41′N 121°33′W / 40.68°N 121.55°W / 40.68 ; -121.55
Eagle Lake Field,Fissure vents,"1,652","5,420",Unknown,40°38′N 120°50′W / 40.63°N 120.83°W / 40.63 ; -120.83
Cinder Cone,Cinder cone,"2,105","6,907",350 BP,40°32′N 121°19′W / 40.53°N 121.32°W / 40.53 ; -121.32
Chaos Crags,Lava domes,"2,592","8,503","1,000 BP",40°32′N 121°31′W / 40.53°N 121.52°W / 40.53 ; -121.52
Lassen Peak,Lava dome,"3,189","10,462",1917,40°29′31″N 121°30′29″W / 40.492°N 121.508°W / 40.492 ; -121.508
Mount Tehama,Stratovolcano,"2,815","9,235","600,000 BP",40°26′N 121°33′W / 40.43°N 121.55°W / 40.43 ; -121.55
