,Name on the Register,Date listed,Location,City or town
1,W. H. Allen House,"October 14 , 1976 ( # 76000395 )",Northwest of Spotville off Highway 98 33°11′31″N 93°01′25″W / 33.191944°N 93.023611°W / 33.191944 ; -93.023611 ( W. H. Allen House ),Spotville
2,Columbia County Courthouse,"April 15 , 1978 ( # 78000580 )",Court Sq . 33°16′01″N 93°14′27″W / 33.266944°N 93.240833°W / 33.266944 ; -93.240833 ( Columbia County Courthouse ),Magnolia
3,Columbia County Jail,"December 22 , 1982 ( # 82000802 )",Calhoun and Jefferson Sts . 33°15′55″N 93°14′30″W / 33.265278°N 93.241667°W / 33.265278 ; -93.241667 ( Columbia County Jail ),Magnolia
4,Harvey C. Couch School,"June 8 , 1993 ( # 93000482 )",Northeast of the junction of County Roads 11 ( Calhoun Rd . ) and 25 33°13′12″N 93°09′12″W / 33.22°N 93.153333°W / 33.22 ; -93.153333 ( Harvey C. Couch School ),Calhoun
5,Couch-Marshall House,"July 24 , 1992 ( # 92000955 )",505 W. Monroe St. 33°15′56″N 93°14′41″W / 33.265556°N 93.244722°W / 33.265556 ; -93.244722 ( Couch-Marshall House ),Magnolia
6,Cross and Nelson Hall Historic District,"January 20 , 2010 ( # 09001240 )",Southern Arkansas University campus at 100 E. University 33°17′25″N 93°14′07″W / 33.290272°N 93.235239°W / 33.290272 ; -93.235239 ( Cross and Nelson Hall Historic District ),Magnolia
7,"Dolph Camp , Bussey and Peace Halls Historic District","January 29 , 2013 ( # 12001231 )","East side of Lane Dr. , Southern Arkansas University 33°17′26″N 93°14′03″W / 33.290503°N 93.234274°W / 33.290503 ; -93.234274 ( Dolph Camp , Bussey and Peace Halls Historic District )",Magnolia
8,Frog Level,"September 22 , 1972 ( # 72000201 )",West of Magnolia off Columbia Rd . 33°16′44″N 93°21′13″W / 33.278889°N 93.353542°W / 33.278889 ; -93.353542 ( Frog Level ),Bussey
9,Greek Amphitheatre,"June 1 , 2005 ( # 05000488 )","Junction of East Lane Dr. , E. University St. , and Crescent Dr. 33°17′27″N 93°14′04″W / 33.290833°N 93.234444°W / 33.290833 ; -93.234444 ( Greek Amphitheatre )",Magnolia
10,Dr. H.A . Longino House,"June 14 , 1982 ( # 82002098 )",317 W. Main St. 33°16′00″N 93°14′36″W / 33.266667°N 93.243333°W / 33.266667 ; -93.243333 ( Dr. H.A . Longino House ),Magnolia
11,Magnolia Colored School Historic District,"January 22 , 2014 ( # 13001103 )",611 S. Madison 33°15′43″N 93°14′37″W / 33.26202°N 93.243602°W / 33.26202 ; -93.243602 ( Magnolia Colored School Historic District ),Magnolia
12,Magnolia Commercial Historic District,"May 20 , 2008 ( # 08000435 )","Roughly bounded by Madison Ave. , Calhoun St. , Jackson Ave. , and Union St. 33°16′02″N 93°14′27″W / 33.267125°N 93.240831°W / 33.267125 ; -93.240831 ( Magnolia Commercial Historic District )",Magnolia
13,Mt . Prospect Methodist Church,"March 22 , 1990 ( # 90000428 )",Junction of County Roads 61 and 446 33°22′09″N 93°04′32″W / 33.369167°N 93.075556°W / 33.369167 ; -93.075556 ( Mt . Prospect Methodist Church ),Richland
14,Old Alexander House,"January 18 , 1979 ( # 79000435 )",Southern Arkansas University campus 33°19′24″N 93°08′26″W / 33.323333°N 93.140556°W / 33.323333 ; -93.140556 ( Old Alexander House ),Magnolia
15,Overstreet Hall,"January 26 , 2016 ( # 15000992 )","NW . of jct . of E. University & N. Jackson Sts. , Southern Arkansas University campus 33°17′23″N 93°14′10″W / 33.289653°N 93.236096°W / 33.289653 ; -93.236096 ( Overstreet Hall )",Magnolia
16,Ozmer House,"November 20 , 1986 ( # 86003226 )","Southern Arkansas University farm , U.S. Route 82 Bypass 33°17′16″N 93°13′13″W / 33.287778°N 93.220278°W / 33.287778 ; -93.220278 ( Ozmer House )",Magnolia vicinity
17,President 's House,"May 28 , 2013 ( # 13000315 )","East Farm Road east of Washington Street , Southern Arkansas University 33°17′45″N 93°13′59″W / 33.295970°N 93.233050°W / 33.295970 ; -93.233050 ( President 's House )",Magnolia
18,The Rushton Clinic,"May 28 , 2013 ( # 13000316 )",219 North Washington Street 33°16′09″N 93°14′26″W / 33.269081°N 93.240452°W / 33.269081 ; -93.240452 ( The Rushton Clinic ),Magnolia
19,William H. Smith House,"November 27 , 1992 ( # 92001630 )",North of the junction of Highway 98 and County Road 85 33°07′12″N 93°03′12″W / 33.12°N 93.053333°W / 33.12 ; -93.053333 ( William H. Smith House ),Atlanta
20,Kate Turner House,"August 26 , 1982 ( # 82002099 )",709 W. Main St. 33°16′00″N 93°14′53″W / 33.266667°N 93.248056°W / 33.266667 ; -93.248056 ( Kate Turner House ),Magnolia
