Year,Name,Party,First vote%
2009,Olaf Scholz,SPD,36.1%
2005,Olaf Scholz,SPD,45.9%
2002,Olaf Scholz,SPD,49.4%
1998,Olaf Scholz,SPD,48.1%
1994,Marliese Dobberthien,SPD,40.5%
1990,Marliese Dobberthien,SPD,41.8%
1987,Jürgen Echternach,CDU,42.0%
1983,Horst Gobrecht,SPD,47.4%
1980,Horst Gobrecht,SPD,50.4%
1976,Horst Gobrecht,SPD,50.1%
1972,Karl-Wilhelm Berkhan,SPD,57.3%
1969,Karl-Wilhelm Berkhan,SPD,55.3%
1965,Karl-Wilhelm Berkhan,SPD,46.7%
1961,Karl-Wilhelm Berkhan,SPD,43.5%
1957,Karl-Wilhelm Berkhan,SPD,42.9%
1953,Hugo Scharnberg,CDU,55.6%
1949,Hugo Scharnberg,CDU,41.3%
