Rank,Country,Team,Points
1,England,Ron Hill Roy Fowler Mike Freary Alan Rushmer Jim Hogan Bill Adcocks,58
2,France,Guy Texereau Noel Tijou René Jourdan Lucien Rault Bernard Maroquin Michel Bernard,101
3,Spain,Mariano Haro José Maiz Javier Álvarez Iluminado Corcuera Carlos Pérez Ramon Tasende,129
4,Scotland,Ian McCafferty Lachie Stewart Andy Brown Jim Wright Jim Alder Gareth Bryan-Jones,137
5,Morocco,Mohamed Said Larbi Oukada Ben Assou El Ghazi Haddou Jaddour Moha Aït Bassou Hammadi Ben Mohamed,178
6,Tunisia,Mohamed Gammoudi Ahmed Zammel Mhedheb Hannachi Ammar Khemiri Abdelkader Zaddem Hamdouni Sghaier,227
7,United States,Bill Clark Herb Lorenz Don Lakin Tom Heinonen Doug Wiebe Bill Reilly,246
8,Belgium,Gaston Roelants Robert Folie Pierre de Pauw Jean-Pierre Delloye Leon Moreels Johan Janssens,304
9,Switzerland,Walter Huss Werner Dössegger Alfons Sidler Werner Wildschek Walter Dietiker Hansruedi Knill,355
10,Ireland,Dennis Quinlan Matt Murphy Tom O'Riordan Donal Walsh Joe O'Keefe John Buckley,360
11,Northern Ireland,Derek Graham Roy Kernoghan Matt Wilson Mike Teer Malcolm Edger David Logue,407
12,Wales,Alan Joslyn Alan Jones Hedydd Davies Cyril Leigh Mel Evans Jeff Kirby,428
13,Algeria,Abderrahmane Delhoum Guenaoui Behloul Kamali Benmissi Mohamed Gouasmi Mustapha Lerari Aissa Benfarès,533
