Date,Name,Nat,Moving from,Moving to,Fee
,Tabaré Viudez,Uruguay,Milan,Defensor Sporting,Free
,Mathías Cardacio,Uruguay,Milan,Defensor Sporting,Free
2009-09-04,Dino Fava,Italy,Treviso,Salernitana,Free
2009-09-05,Arturo Di Napoli,Italy,Salernitana,Messina,Free
2009-09-05,Roberto D'Aversa,Italy,Treviso,Gallipoli,Free
2009-09-06,Antonino D'Agostino,Italy,Atalanta,Progetto Sant'Elia,Free
2009-09-09,Nikola Vujadinović,Montenegro,Udinese,Unirea Alba Iulia,Loan
2009-09-09,Blažej Vaščák,Slovakia,Lecce,Košice,Free
2009-09-10,Gabriele Sollitto,Italy,Sansovino,Ancona,Free
2009-09-17,Michele Ferri,Italy,Sampdoria,Vicenza,Free
2009-09-21,Leonardo Colucci,Italy,Cremonese,Modena,Free
2009-09-23,Olivier Dacourt,France,Internazionale,Standard Liège,Free
2009-09-25,Giorgio Santarelli,Italy,Monopoli,Ascoli,Free
