Title,Director,Cast,Genre
Adrift,Heitor Dhalia,"Laura Neiva , Vincent Cassel , Débora Bloch , Camilla Belle",Drama
The Assailant,João Daniel Tikhomiroff,"Aílton Carmo , Jéssica Barbosa , Flávio Rocha , Irandhir Santos","Action , drama"
Beyond Ipanema,Guto Barra & Béco Dranoff,"Seu Jorge , Milton Nascimento , Gilberto Gil",Documentary
Bonitinha mas Ordinária,Moacyr Góes,,Drama
Budapest,Walter Carvalho,"Leonardo Medeiros , Gabriella Hámori , Giovanna Antonelli",Drama
The Eye of the Storm,Eduardo Valente,"Marcio Vito , Dedina Bernardelli",Drama
From Beginning to End,Aluisio Abranches,"Rafael Cardoso , João Gabriel Vasconcellos , Júlia Lemmertz , Fábio Assunção","LGBT , drama"
The Happy Cricket and the Giant Bugs,"Walbercy Ribas , Rafael Ribas","Vagner Fagundes , Julia Duarte",Animated
Kafka Goes to the Forest,Daniel Matos,Daniel Matos Renata Campos,Drama
"Lula , Son of Brazil",Fábio Barreto,"Rui Ricardo Dias , Glória Pires , Cléo Pires , Juliana Baroni , Milhem Cortaz",Bio-pic
Peacetime,Daniel Filho,"Tony Ramos , Dan Stulbach",Comedy
Terras,Maya Da-Rin,,Documentary
Veronica,Maurício Farias,"Andréa Beltrão , Marco Ricca , Matheus de Sá",Thriller
