Year,Title,Role
1957,Saint Joan,St. Joan of Arc
1958,Bonjour tristesse,Cecile
1959,The Mouse That Roared,Helen Kokintz
1960,Breathless,Patricia Franchini
1960,Let No Man Write My Epitaph,Barbara Holloway
1961,Les Grandes Personnes [ fr ],Ann
1961,La Récréation [ fr ],Kate Hoover
1961,Five Day Lover,Claire
1962,Congo Vivo,Annette
1963,In the French Style,Christina James
1964,Les plus belles escroqueries du monde,Patricia Leacock
1964,Backfire,Olga Celan
1964,Lilith,Lilith Arthur
1965,Un milliard dans un billard,Bettina Ralton
1966,Moment to Moment,Kay Stanton
1966,A Fine Madness,Lydia West
1966,Line of Demarcation,"Mary , comtesse de Damville"
1967,Estouffade à la Caraïbe,Colleen O'Hara
1967,Who 's Got the Black Box ?,Shanny
1968,Birds in Peru [ fr ],Adriana
