Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Martti Vainio,Finland,Long distance,1984 1983-1984,"Positive test : Metenolone Self admittance : Blood transfusions , Testosterone",18 months ( Reduced from life ban )
Euclides Varela,Cape Verde,Long distance,2012,3 whereabouts failures,18 months
Roland Varga,Hungary,Discus throw,2006,Boldenone,2 years
Andrei Varantsou,Belarus,Hammer throw,2005 ( Sample retested 2012 ) January 2013 October 2013,"Clomiphene , Oxandrolone Oral Turinabol Oral Turinabol",4 years Life ban
Sebastian Varga,Romania,,2006 2009,Stanozolol Metabolites of metandienone,2 years 8 years
Aleksandr Vashchilo,Belarus,Hammer throw,2005,Cannabis,Public warning
Cristina Vasiloiu,Romania,Middle distance,2008,EPO,
Nikolai Vedehin,Estonia,Middle distance,2015,Trimetazidine,4 years
Velko Velev,Bulgaria,Hammer throw,1975,Anabolic steroids,
Michael Velter,Belgium,Triple jump,2006 2011,Cannabis Cannabis,3 months 21 months
Venelina Veneva,Bulgaria,High jump,2007,Testosterone,2 years
Oksana Verner,Kazakhstan,Middle distance,2010,Stanozolol,2 years
Anna Verouli,Greece,Javelin throw,1984,Nandrolone,
Ioan Vieru,Romania,Sprinting,2004,Stanozolol,2 years
Saurav Vij,India,Shot put,2010,Methylhexaneamine,2 years
Igor Vinichenko,Russia,Hammer throw,2013,Dehydrochloromethyltestosterone,2 years
Roman Virastyuk,Ukraine,Shot put,1991,,
Innis Viviers,South Africa,Sprinting,2003 2005,Stanozolol Stanozolol,2 years Life ban
Aleksey Voyevodin,Russia,Race walking,2008,EPO,2 years
Nadezhda Vorobieva,Russia,Middle distance,2004,Pemoline,2 years
