Name,Highest level,Position
Mason Darrow,NCAA Division I,Offensive lineman
Wade Davis,NFL,Cornerback
Scott Frantz,NCAA Division I,Offensive Tackle
Ed Gallagher,NCAA Division I,Offensive tackle
Alan Gendreau,NCAA Division I,Placekicker
Kwame Harris,NFL,Offensive tackle
Bradley Kim,NCAA Division I,Defensive back
David Kopay,NFL,Running back
Ray McDonald,NFL,Running back
Conner Mertens,NCAA Division III,Placekicker
Ryan O'Callaghan,NFL,Offensive Lineman
Jeff Rohrer,NFL,Linebacker
Michael Sam,NFL / CFL,Defensive end
Chip Sarafin,NCAA Division I,Offensive lineman
Roy Simmons,NFL,Guard
Brian Sims,NCAA Division II,Defensive tackle
Jerry Smith *,NFL,Tight end
Brad Thorson,NFL,Offensive lineman
Esera Tuaolo,NFL,Defensive tackle
Jacob Van Ittersum,NCAA Division II,Offensive Lineman
