Name,Location,Size ( hectares ),Description
Achnashellach Forest,Scottish Highlands,,Achnashellach Forest does not have recreational facilities that many other Forestry Commission forests have . It is in a remote part of the Scottish Highlands and is fairly mountainous . The Forest was originally part of a Caledonian Forest
Argyll Forest Park,Argyll and Bute,"24,281","In 1935 , Argyll Forest became the first Forest Park in Britain . It lies on the border between the Scottish Highlands and the Scottish Lowlands"
Craik Forest,Scottish Borders,,Craik Forest is primarily a commercial forest with timber being processed at facilities nearby . There are some recreational facilities within the forest
Dalbeattie Forest,Dumfries and Galloway,1100,"Dalbeattie Forest has primarily been a commercial forest , though the Forestry Commission has worked with local organisations to expand recreational facilities . The forest now hosts one of the 7stanes biking trails"
Forest of Ae,Dumfries and Galloway,9100,"Ae was created by the Forestry Commission soon after it was established . While it is mainly a commercial forest , it is also one of the 7stanes forests"
Galloway Forest Park,Dumfries and Galloway,97000,Galloway Forest is the largest forest in Britain . In 2009 it became the first Dark Sky Park in the UK
Garscadden Wood,Glasgow,16.94,"Garscadden Wood lies within the Drumchapel Woodlands , slightly north west of Glasgow"
Glen Affric,Highland,9000,Glen Affric is home to a large area of Caledonian Forest and is designated a National Nature Reserve
Glencoe Lochan,Highland,,Glencoe Lochan forest was established by 1st Baron Strathcona in the 19th century . It is a coniferous forest
Glenmore Forest Park,Highland,3500,Genmore contains some caledoninan woodland . It became the second Forest Park to be created by the Commission in 1948
Knapdale Forest,Argyll and Bute,19800,Knapdale has a colony of beavers as part of the Scottish Beaver Trial
Mabie Forest,Dumfries and Galloway,,"Mabie Forest has been owned by the Forestry Commission since 1943 . It has become a recreational forest , with walking routes and 7stanes biking trails"
Queen Elizabeth Forest Park,Stirling,16780,The Queen Elizabeth Forest Park consists of several forests . It became a forest park in 1953 as part of the coronation of Queen Elizabeth II
Tay Forest Park,Perthshire,,"The Tay Forest Park is made up of several different forests . The forest has been visited by several royals , including Queen Victoria and Queen Isabella of Scotland"
Tweed Valley Forest Park,Scottish Borders,6800,The Tweed Valley Forest Park is made up of seven forests around the Scottish Borders . Glentress and Innerleithen forests are part of the 7stanes biking trail project
