Frequency,Call sign,Branding,Format,Owner
AM 630,CHED,630 CHED,news / talk,Corus Entertainment
AM 740,CBX,CBC Radio One,news / talk,Canadian Broadcasting Corporation
AM 840,CFCW,840 CFCW,country,Stingray Group
AM 880,CHQT,Global News Radio 880 Edmonton,news / talk,Corus Entertainment
AM 930,CJCA,The Light,gospel music,Touch Canada Broadcasting
AM 1260,CFRN,TSN 1260,sports,Bell Media
FM 88.5,CJSR-FM,CJSR FM88,campus radio,First Alberta Campus Radio Association
FM 89.3,CKAV-FM-4,Aboriginal Voices,First Nations,Aboriginal Voices Radio
FM 90.1,CHFA,ICI Radio-Canada Première,news / talk,Canadian Broadcasting Corporation
FM 90.9,CBX-FM,CBC Music,public music,Canadian Broadcasting Corporation
FM 91.7,CHBN-FM,KiSS 91.7,contemporary hit radio,Rogers Radio
FM 92.5,CKNG-FM,92.5 The 'Chuck,Adult hits,Corus Entertainment
FM 93.1,CJLD-FM,The One,country music,Blackgold Broadcasting
FM 93.9,CBX-2-FM,CBC Radio One,news / talk,Canadian Broadcasting Corporation
FM 94.9,CKUA-FM,CKUA Radio Network,public broadcasting,CKUA Radio Foundation
FM 95.7,CKEA-FM,95.7 Cruz FM,classic hits,Harvard Broadcasting
FM 96.3,CKRA-FM,96.3 The Breeze,soft adult contemporary,Stingray Group
FM 97.3,CIRK-FM,K-97,classic rock,Stingray Group
FM 97.9,CFED-FM,"Radio Cité 97,9",francophone community radio,Société de la radio communautaire du Grand Edmonton
FM 98.5,CFWE-FM-4,CFWE,"country , First Nationscommunity radio",Aboriginal Multi-Media Society
