Name,Swedish name,Location,Date,Condition
Älvsborg fortress,Nya Älvsborgs fästning,Gothenburg,1650,Museum
Ängsö Castle,Ängsö slott,Västmanland,1272,Museum
Örbyhus Castle,Örbyhus slott,Uppland,14th century,Museum
Örebro Castle,Örebro slott,Närke,1573,Museum
Örenäs Castle,Örenäs slott,Scania,1918,Hotel
Örtofta Castle,Örtofta slott,Scania,1861,Private residence
Örup Castle,Örups slott,Scania,15th century,Private residence
Östanå Castle,Östanå slott,Uppland,1794,Private residence
Öster-Malma Castle,Östermalma slott,Södermanland,1668,Private residence
Övedskloster Manor,Övedsklosters slott,Scania,1776,Private residence
Åkerö Manor,Åkerö slott,Södermanland,1757,Private residence
Åkeshov Castle,Åkeshovs slott,Uppland,1650,Hotel
Årsta Castle,Årsta slott,Södermanland,1667,Museum
