Community,Airport name,TC LID
Acme,Acme Airport,CEG2
Andrew,Andrew Airport,CEJ2
Bjorgum Farm,Bjorgum Farm Airport,CFD9
Cadotte Lake,Cadotte Airport,CEJ5
Calgary,RCAF Station Lincoln Park,
Caroline,Caroline Aerodrome,CCN3
Chinchaga Wildland Park,Chinchaga Airport,CED2
Conklin,Conklin Airport,CER5
Cowper Lake Indian Reserve 194A,Cowpar Airport,CTM3
Didsbury,Didsbury ( Vertical Extreme Skydiving ) Aerodrome,CDV4
Edmonton,Edmonton City Centre ( Blatchford Field ) Airport,
Embarras,Embarras Airport,CFN4
Fontas,Fontas Airport,CFK3
Forestburg,Forestburg Airport,CEF6
Fort Chipewyan,Fort Chipewyan/Small Lake Water Aerodrome,CEM7
Fort Macleod,RCAF Station Pearce,
"Fort Smith , Northwest Territories",Fitzgerald ( Fort Smith ) Water Aerodrome,CEJ7
Grande Cache,Grande Cache Airport,CEQ5
Grist Lake,Grist Lake Airport,CFY2
Hamburg ( oil field ),Hamburg Aerodrome,CFM5
