Title,Release date,Original game publisher
Dragon Ball Z Side Story : Plan to Eradicate the Saiyans,"August 6 , 1993",Bandai
Run the Gauntlet ( Driv3r ),2004,Atari
The King of Fighters : Another Day,"December 2 , 2005",SNK
Deep Dive ( Kingdom Hearts ),March 2007,Square Enix
Halo : Landfall,"October 30 , 2007",Microsoft Game Studios
Heavenly Sword,"November 29 , 2007",Sony Computer Entertainment America
Sonic : Night of the Werehog,"November 21 , 2008",Sega
Kijujud ayo ( Resident Evil 5 ),2009,Capcom
Assassin 's Creed : Lineage,"October 26 , 2009",Ubisoft
Bright Falls,"April 26 , 2010 - May 13 , 2010",Microsoft Game Studios
Street Fighter : Legacy,"May 6 , 2010",Capcom
Mortal Kombat : Rebirth,"June 8 , 2010",Warner Bros. Interactive Entertainment
Zombrex Dead Rising Sun ( Dead Rising 2 ),"August 4 , 2010 - August 25 , 2010",Capcom
Dragon Ball : Plan to Eradicate the Super Saiyans,"November 11 , 2010",Bandai Namco Entertainment
Find Makarov : Operation Kingfish ( Call of Duty ),"September 2 , 2011",Activision
Assassin 's Creed : Embers,"November 15 , 2011",Ubisoft
Dragon Age : Redemption,"October 11 , 2011",BioWare
Ghost Recon : Alpha,2012,Ubisoft
Tekken Tag Tournament 2,"October 19 , 2012",Bandai Namco Games
The Far Cry Experience,"November 1 , 2012",Ubisoft
