Year,Laureate,Relation,Rationale
1933,Thomas Hunt Morgan,"Ph.D. , 1890 ; LL.D. , 1915",for his discoveries concerning the role played by the chromosome in heredity
1934,George Minot ( shared with George Whipple and William P. Murphy ),"Assistant in Medicine , 1914-15",for their discoveries concerning liver therapy in cases of anaemia
1934,George Whipple ( shared with George Minot and William P. Murphy ),"M.D. , 1905 ; Associate Professor in Pathology , 1910-14",for their discoveries concerning liver therapy in cases of anaemia
1944,Joseph Erlanger ( shared with Herbert Spencer Gasser ),"M.D. , 1899 ; Assistant in Physiology , 1900-01 ; Instructor , 1901-03 ; Associate , 1903-04 ; Associate Professor , 1904-06 ; LL.D. , 1947",for their discoveries relating to the highly differentiated functions of single nerve fibres
1944,Herbert Spencer Gasser ( shared with Joseph Erlanger ),"M.D. , 1915",for their discoveries relating to the highly differentiated functions of single nerve fibres
1966,Francis Peyton Rous ( shared with Charles Brenton Huggins ),"A.B. , 1900 ; M.D. , 1905",for his discovery of tumour -inducing viruses
1967,Haldan Keffer Hartline ( shared with Ragnar Granit and George Wald ),"M.D . 1927 ; Professor of Biophysics , 1949-54",for their discoveries concerning the primary physiological and chemical visual processes in the eye
1978,Daniel Nathans ( shared with Werner Arber and Hamilton O. Smith ),"Assistant Professor , 1962-65 ; Associate Professor , 1965-67 ; Professor of Molecular Biology and Genetics , 1967-1999 ; Interim President , 1995-96",for the discovery of restriction enzymes and their application to problems of molecular genetics
1978,Hamilton O. Smith ( shared with Werner Arber and Daniel Nathans ),"M.D. , 1956 ; Assistant Professor of Microbiology , 1967-69 ; Associate Professor , 1969-1973 ; Professor , 1973-1998 ; Professor Emeritus 1998-present",for the discovery of restriction enzymes and their application to problems of molecular genetics
1981,David H. Hubel ( shared with Torsten N. Wiesel ),"Assistant Resident , Neurology , 1954-55 ; Fellow , Neuroscience , 1958-59",for their discoveries concerning information processing in the visual system
1981,Torsten N. Wiesel ( shared with David H. Hubel ),"Fellow , Ophthalmology , 1955-58 ; Assistant Professor , 1958-59",for their discoveries concerning information processing in the visual system
1994,Martin Rodbell ( shared with Alfred G. Gilman ),"B.A. , 1949",for their discovery of G-proteins and the role of these proteins in signal transduction in cells
2000,Paul Greengard ( shared with Arvid Carlsson and Eric Kandel ),"Ph.D. , 1953",for their discoveries concerning signal transduction in the nervous system
2004,Richard Axel ( shared with Linda B. Buck ),"M.D. , 1971",for their discoveries of odorant receptors and the organization of the olfactory system
2006,Andrew Fire ( shared with Craig Mello ),"Adjunct professor of biology , 1989-present",for their discovery of RNA interference - gene silencing by double-stranded RNA
2009,Carol Greider ( shared with Elizabeth H. Blackburn and Jack W. Szostak ),Daniel Nathans Professor and the Director of Molecular Biology and Genetics at the Johns Hopkins Institute of Basic Biomedical Sciences,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
2019,Gregg L. Semenza ( shared with William G. Kaelin and Peter J. Ratcliffe ),"C. Michael Armstrong Professor of Genetic Medicine , Biological Chemistry , Medicine , Pediatrics , Radiation Oncology and Molecular Radiation Sciences and Director of the Vascular Program at the Johns Hopkins Institute of Cell Engineering",for their discoveries of how cells sense and adapt to oxygen availability
2019,William Kaelin Jr,Medical Resident and Postdoctoral Fellow,
