Club,City,Stadium,Capacity
Aucas,Quito,Estadio Gonzalo Pozo Ripalda,"21,689"
Barcelona,Guayaquil,Monumental Banco Pichincha,"57,267"
Delfín,Manta,Jocay,"17,834"
Deportivo Cuenca,Cuenca,Alejandro Serrano Aguilar Banco del Austro,"16,540"
El Nacional,Quito,Olímpico Atahualpa,"35,742"
Emelec,Guayaquil,Arena Banco del Pacífico,"40,020"
Guayaquil City,Guayaquil,Christian Benítez Betancourt,"10,152"
Independiente del Valle,Sangolquí,Rumiñahui,"7,233"
LDU Portoviejo,Portoviejo,Estadio Reales Tamarindos,"20,500"
LDU Quito,Quito,Rodrigo Paz Delgado,"41,575"
Macará,Ambato,Bellavista,"16,467"
Mushuc Runa,Ambato,Mushuc Runa,"6,000"
Olmedo,Riobamba,Estadio Olímpico de Riobamba,"14,400"
Orense,Machala,Estadio 9 de Mayo,"16,456"
Técnico Universitario,Ambato,Bellavista,"16,467"
Universidad Católica,Quito,Olímpico Atahualpa,"35,742"
