Governorate,Name in Russian,Name in Polish,Seat
Warsaw Governorate,Варшавская губерния,Gubernia warszawska,Warszawa
Kalisz Governorate,Калишская губерния,Gubernia kaliska,Kalisz
Kielce Governorate,Келецкая губерния,Gubernia kielecka,Kielce
Łomża Governorate,Ломжинская губерния,Gubernia łomżyńska,Łomża
Lublin Governorate,Люблинская губерния,Gubernia lubelska,Lublin
Piotrków Governorate,Петроковская губерния,Gubernia piotrkowska,Piotrków
Płock Governorate,Плоцкая губерния,Gubernia płocka,Płock
Radom Governorate,Радомская губерния,Gubernia radomska,Radom
Siedlce Governorate,Седлецкая губерния,Gubernia siedlecka,Siedlce
Suwalki Governorate,Сувалкская губерния,Gubernia suwalska,Suwałki
