Number,Name,Builder,Location
,Gertrude,Andrew Barclay,Welsh Highland Heritage Railway
DHR19,,Sharp Stewart,Beeches Light Railway
22,Montalban,Orenstein & Koppel,West Lancashire Light Railway
,Woto,WG Bagnall,Alan Keef Ltd
,Elidir,Hunslet,Llanberis Lake Railway
,Britomart,Hunslet,Ffestiniog Railway
,Jack,,West Lancashire Light Railway
,Irish Mail,Hunslet,West Lancashire Light Railway
,Barbouilleur,Decauville,Amberley Museum Railway
1,Bronhilde,Berliner Maschinenbau ( Schwartzkopff ),Bredgar and Wormshill Light Railway
2,Katie,Arn Jung,Bredgar and Wormshill Light Railway
10,Naklo,Fablok ( Chrzanow ),South Tynedale Railway
,Triassic,Peckett,Bala Lake Railway
,Alan George,Hunslet,Teifi Valley Railway
4,Stanhope,Kerr Stuart,West Lancashire Light Railway
939,Justine,Arn Jung,North Gloucestershire Narrow Gauge Railway
1091,,Henschel,North Gloucestershire Narrow Gauge Railway
1652,Type 17,Decauville,Froissy Dompierre Light Railway
