Year,Film,Song ( s ),Music director ( s ),Language,Co-singer ( s )
2001,Tera Mera Saath Rahen,Dum dum diga diga,Anand Raj Anand,Hindi,Atul Kale
2001,Ehsaas : The Feeling,Tumse milkar hua hai Ehsaas,Anand Raj Anand,Hindi,K.K
2005,Paheli,• Kangna Re • Khali Hai Tere Bina • Minnat Kare,M.M . Kreem,Hindi,"• Shreya Ghoshal , Madhushree , Kalapini Komakali , Sonu Nigam • Hariharan • Shreya Ghosal , Madhushree"
2008,Jodhaa Akbar,Mann Mohana,A. R. Rahman,Hindi,Solo
2008,Vaalmiki,Kooda Varuviya,Ilayaraja,Tamil,Solo
2008,Silambattam,Machaan Machaan,Yuvan Shankar Raja,Tamil,Ilayaraja
2008,Aegan,Odum Varayil,Yuvan Shankar Raja,Tamil,KK
2009,What 's Your Raashee ?,• Su Chhe • Koi Jaane na,Sohail Sen,Hindi,Rajab Ali Bharti
2009,Kunguma Poovum Konjum Puravum,Chinnan Sirusu,Yuvan Shankar Raja,Tamil,Javed Ali
2009,Horn Ok Please,Ayela Ayela,Lalit Pandit,Hindi,"Sudesh Bhosle , Nana Patekar"
2010,Natrang,• Wajle Ki Bara • Kashi Mi Jau Mathurechya Bajari • Apsara Aali,Ajay-Atul,Marathi,• Solo • Ajay Gogavale • Ajay-Atul
2010,Mumbai-Pune-Mumbai,Ka Kalena,Avinash-Vishwajeet,Marathi,Solo
2010,We Are Family,Sun Le Dua Yeh Aasmaan,Shankar-Ehsaan-Loy,Hindi,Solo
2010,Mirch,Mann Bhi Hai,Monty Sharma,Hindi,Solo
2010,Kanimozhi,• Muzhumadhi • Yaaro Ival Ival Yaaro,Satish Chakravarthy,Tamil,"Parthiv Gohil , Mukesh"
2010,Kacheri Arambam,Azhagu Azhagu,D. Imman,Tamil,Solo
2011,Balgandharva,Aaj Mhare Ghar Pawana,Kaushal Inamdar,Marathi,Solo
2011,Pathinaaru,Adada En Meethu,Yuvan Shankar Raja,Tamil,Hariharan
2011,Arjun,He shwas tuze,Lalit Sen,Marathi,Kunal Ganjawala
2012,Neethaane En Ponvasantham,Vaanam Mella,Ilaiyaraja,Tamil,Ilaiyaraaja
