Club,Owner ( s ),Estimated combined net worth,Source of wealth
FC Astra,Ioan Niculae,"€1,300m ( 2008 )","Agriculture , Chemicals"
FC Braşov,Ioan Neculae,€390m ( 2008 ),"Truck manufacturing , Tourism , Construction , Real estate"
CFR Cluj,Árpád Pászkány,€96 m ( 2008 ),"Real estate , Construction"
Dinamo Bucureşti,"Cristian Borcea , Nicolae Badea ,","Cristian Borcea €125 m , Nicolae Badea €160 m","Real estate , Construction , Food , Tourism , Information Technology"
Gaz Metan Mediaş,"Romgaz , Transgaz",,Natural gas
Gloria Bistriţa,Jean Pădureanu,€19 m ( 2008 ),Football
Oţelul Galaţi,Lakshmi Mittal,"$ 15,700m ( Mittal ) ( 2009 )",Steel
Pandurii Târgu Jiu,Marin Condescu,,Coal mining
FC Politehnica Timișoara,Marian Iancu,,Oil
Rapid Bucureşti,George Copos,€280m ( 2008 ),"Industry , Tourism"
Sportul Studenţesc,Vasile Şiman,,Real estate
Steaua Bucureşti,Gigi Becali,"€2,500m ( 2008 )","Real estate , Construction , Industry , Food"
Târgu Mureş,,,Football
U Cluj,Florian Walter,,"Cleaning industry , Real estate"
Unirea Urziceni,Dumitru Bucşaru,€150 m ( 2008 ),"Construction , Real estate"
Universitatea Craiova,Adrian Mititelu,€50m ( 2008 ),"Real estate , Media"
SC Vaslui,Adrian Porumboiu,€160m ( 2008 ),"Agriculture , Food"
Victoria Brăneşti,,,Football
