Character,Film,Portrayed by,Year
Kevin O-Dog Anderson,Menace II Society,Larenz Tate,1993
Betelgeuse,Beetlejuice,Michael Keaton,1988
Travis Bickle,Taxi Driver,Robert De Niro,1976
Rick Blaine,Casablanca,Humphrey Bogart,1942
Louis Bloom,Nightcrawler,Jake Gyllenhaal,2014
Jason Bourne,Bourne film series,Matt Damon,2002
Brandon Breyer,Brightburn,Jackson A. Dunn,2019
Brodie Bruce,Mallrats,Jason Lee,1995
Harry Callahan,Dirty Harry,Clint Eastwood,1971
Jack Carter,Get Carter,Michael Caine,1971
Chev Chelios,Crank Crank : High Voltage,Jason Statham,2006 2009
Barnabas Collins,Dark Shadows,Johnny Depp,2012
John Constantine,Constantine,Keanu Reeves,2005
Rooster Cogburn,True Grit ( 1969 ) Rooster Cogburn True Grit ( 2010 ),John Wayne Jeff Bridges,1969 1975 2010
Michael Corleone,The Godfather film series,Al Pacino,1972
Rick Deckard,Blade Runner Blade Runner 2049,Harrison Ford,1982
Django,Django Unchained,Jamie Foxx,2012
DJay,Hustle & Flow,Terrence Howard,2005
Frank Drebin,The Naked Gun,Leslie Nielsen,1988
Judge Dredd,Dredd,Karl Urban,2012
