#,Artist,Artist 's nationality,Title
1,Deutschland sucht den Superstar,Germany,We Have A Dream
2,Alexander Klaws,Germany,Take Me Tonight
3,Yvonne Catterfeld,Germany,Für dich
4,RZA featuring Xavier Naidoo,United States Germany,Ich kenne nichts ( das so schön ist wie du )
5,t.A.T.u,Russia,All The Things She Said
6,Eminem,United States,Lose Yourself
7,Outlandish,Denmark,Aïcha
8,The Black Eyed Peas,United States,Where Is The Love ?
9,Lumidee featuring Busta Rhymes & Fabolous,United States,"Never Leave You ( Uh Oooh , Uh Oooh )"
10,The Rasmus,Finland,In The Shadows
11,Evanescence,United States,Bring Me To Life
12,Dido,United Kingdom,White Flag
13,Robbie Williams,United Kingdom,Feel
14,Alexander Klaws,Germany,Free Like the Wind
15,Sean Paul,Jamaica,Get Busy
16,Daniel Küblböck,Germany,You Drive Me Crazy
17,50 Cent,United States,In Da Club
18,Wolfsheim,Germany,Kein Zurück
19,Las Kanzler/Die Gerd Show,Germany,Der Steuersong
20,Shania Twain,Canada,Ka-Ching !
