,Name on the Register,Date listed,Location,City or town,Description
1,Central Wisconsin State Fair Round Barn,"March 21 , 1997 ( # 97000269 )",Jct . of Vine Ave. and E. 17th St. 44°39′08″N 90°10′27″W / 44.652222°N 90.174167°W / 44.652222 ; -90.174167 ( Central Wisconsin State Fair Round Barn ),Marshfield,"Designed by local builder Frank Felhofer , the large show barn was built in 1916 to be the focal point of the fairground . It 's now considered the world 's largest round barn"
2,Columbia Park Band Shell,"September 3 , 2008 ( # 08000842 )",201 W. Arnold St. 44°40′10″N 90°10′28″W / 44.669568°N 90.174408°W / 44.669568 ; -90.174408 ( Columbia Park Band Shell ),Marshfield,Art deco band shell built with brick from the Marshfield Brick Company by the city in 1931 as a make-work project and to provide free summer entertainment
3,Elizabeth Daly House,"November 4 , 1993 ( # 93001172 )",641 Baker St. 44°23′36″N 89°49′06″W / 44.393333°N 89.818333°W / 44.393333 ; -89.818333 ( Elizabeth Daly House ),Wisconsin Rapids,"1909 American Foursquare home with Georgian Revival influence . Elizabeth was the wife of John Daly , lumberman , businessman , and paper man , who had died in a logging camp accident"
4,Nels and Nellie Johnson House,"September 12 , 2019 ( # 100004378 )",850 1st Ave. S. 44°23′16″N 89°50′04″W / 44.3877°N 89.8344°W / 44.3877 ; -89.8344 ( Nels and Nellie Johnson House ),Wisconsin Rapids,"2.5-story home designed in Queen Anne style by William H. Parker and built by Joseph Golla in 1892 . Nels co-founded the Johnson , Hills & Company department store and was first president of Consolidated Water and Power"
5,Marshfield Central Avenue Historic District,"November 4 , 1993 ( # 93001166 )","Roughly , Central Ave. from Depot St. to Third St. 44°39′59″N 90°10′26″W / 44.666389°N 90.173889°W / 44.666389 ; -90.173889 ( Marshfield Central Avenue Historic District )",Marshfield,"Includes many old brick businesses like the Thomas House Hotel built after the fire of 1887 , the Romanesque Revival old city hall built in 1901 , the Craftsman-styled Wisconsin Central depot built in 1910 , and the eclectic-styled Hotel Charles built in 1925 , which hosted JFK , Patsy Cline , and possibly John Dillinger"
6,Marshfield Post Office,"October 24 , 2000 ( # 00001243 )",202 S. Chestnut Ave. 44°39′59″N 90°10′35″W / 44.666389°N 90.176389°W / 44.666389 ; -90.176389 ( Marshfield Post Office ),Marshfield,"Example of classical revival architecture , built around 1930 using brick from the Marshfield Brick and Tile Company"
7,Marshfield Senior High School,"April 6 , 2005 ( # 05000272 )",900 E. Fourth St. 44°39′38″N 90°09′55″W / 44.660556°N 90.165278°W / 44.660556 ; -90.165278 ( Marshfield Senior High School ),Marshfield,"1940 art deco building designed by Eschweiler & Eschweiler , modern for its day with labs , gyms , libraries , an auditorium , and an observatory . Built during the Depression , part of the funding for construction came from a Public Works Administration grant"
8,Parkin Ice Cream Company,"January 8 , 2009 ( # 08001303 )",108 W. 9th St. 44°39′35″N 90°10′44″W / 44.659628°N 90.179022°W / 44.659628 ; -90.179022 ( Parkin Ice Cream Company ),Marshfield,Former ice cream plant built in 1941 . The Parkins were involved in the movement to create a national dairy marketing compact
9,Pleasant Hill Residential Historic District,"July 5 , 2000 ( # 00000780 )","Roughly bounded by E. First St. , Ash Ave. , E. Fourth St. , and S. Cedar Ave. 44°39′49″N 90°10′12″W / 44.663611°N 90.17°W / 44.663611 ; -90.17 ( Pleasant Hill Residential Historic District )",Marshfield,"Largely intact neighborhood , mostly homes built between 1880 and 1949 . Some were built by businessmen within walking distance of their stores on Central Avenue . Examples include the 1897 Queen Anne Winch house ( pictured ) , the 1904 Georgian Revival Wahle/Laird house , the 1915 Prairie style Schaefer house , and the 1924 Tudor Revival Wilson house"
10,Willard D. Purdy Junior High and Vocational School,"September 8 , 1992 ( # 92001188 )",110 W. Third St. 44°39′52″N 90°10′33″W / 44.664444°N 90.175833°W / 44.664444 ; -90.175833 ( Willard D. Purdy Junior High and Vocational School ),Marshfield,The north section was designed by Frank Childs of Chicago in collegiate gothic style and built 1919-20 . In 1926 a matching addition was added to the south . Purdy was a WWI soldier from Marshfield who threw himself on a grenade to save his comrades
11,Hamilton and Catherine Roddis House,"July 5 , 2002 ( # 08001060 )",1108 E. 4th St. 44°39′33″N 90°09′42″W / 44.659117°N 90.161767°W / 44.659117 ; -90.161767 ( Hamilton and Catherine Roddis House ),Marshfield,"Dutch Colonial Revival home on a large lot , with a porte-cochère and a ballroom on the third floor , designed by Marshfield architect Gus Krasin in 1914 . Hamilton was the head of Roddis Lumber and Veneer Company and showcased his company 's wood products in finishing his home 's interior"
