Medal,Name,Sport,Event
Gold,Bernhard Russi,Alpine skiing,Men 's downhill
Gold,Marie-Theres Nadig,Alpine skiing,Women 's downhill
Gold,Marie-Theres Nadig,Alpine skiing,Women 's giant slalom
Gold,Jean Wicki Hans Leutenegger Werner Camichel Edy Hubacher,Bobsleigh,Four-man
Silver,Roland Collombin,Alpine skiing,Men 's downhill
Silver,Edmund Bruggmann,Alpine skiing,Men 's giant slalom
Silver,Walter Steiner,Ski jumping,Men 's large hill ( 90m )
Bronze,Werner Mattle,Alpine skiing,Men 's giant slalom
Bronze,Jean Wicki Edy Hubacher,Bobsleigh,Two-man
Bronze,Alfred Kälin Albert Giger Alois Kälin Eduard Hauser,Cross-country skiing,Men 's relay
