Name,Capacity,City,Country,Architectural style,Year of first building
Imam Reza Shrine Persian : حرم امام رضا,"1,500,000",Mashhad,Iran,Iranian,729
Great Mosque of Mecca Arabic : ٱلمـسـجد الـحـرام,"1,500,000",Mecca,Saudi Arabia,Islamic,Pre-622
Al-Masjid an-Nabawi Arabic : المسجد النبوي,"1,000,000",Medina,Saudi Arabia,"Islamic and Ottoman , Mamluk Revivalist",Between 634 and 644
Imam Ali Mosque Arabic : حرم الإمام علي,"800,000",Najaf,Iraq,Islamic,900
"Grand Jamia Mosque , Karachi Urdu : گرانڈ جامعہ مسجد کراچی","800,000",Karachi,Pakistan,Islamic,2020
Istiqlal Mosque Indonesian : Masjid Istiqlal,"200,000",Jakarta,Indonesia,International Style,1978
Taj-ul-Masajid Hindi : ताज-उल-मस्जिद,"175,000",Bhopal,India,Mughal,1901
Jamkaran Mosque Persian : مسجد جمکران,"150,000",Qom,Iran,Iranian,984
Djamaa el Djazaïr Arabic : جامع الجزائر,"120,000",Algiers,Algeria,Contemporary Islamic,Under construction
Hassan II Mosque Arabic : مسجد الحسن الثاني French : Mosquée Hassan-II,"105,000",Casablanca,Morocco,"Moorish , Moroccan",1993
Badshahi Mosque Urdu : بادشاہی مسجد,"100,000",Lahore,Pakistan,Mughal,1673
Chota Imambara Hindi : छोटा इमामबाड़ा ] Urdu : چھوٹا امامباڑا,"100,000",Lucknow,India,Mughal,1784
Faisal Mosque Urdu : فیصل مسجد,"74,000",Islamabad,Pakistan,Contemporary Islamic,1986
Grand Jamia Mosque Urdu : گرینڈ جامع مسجد,"70,000",Lahore,Pakistan,Mughal,2014
Çamlıca Mosque Turkish : Çamlıca Camii,"63,000",Istanbul,Turkey,Late Classical Ottoman,2013
Sultan Haji Hassanal Bolkiah Mosque Filipino : Sultan Haji Hassanal Bolkiah Masjid,"60,000",Cotabato City,Philippines,Islamic,2011
Al-Akbar Mosque Indonesian : Masjid Al-Akbar Javanese : ꦩꦼꦱ꧀ꦗꦶꦢ꧀ꦄꦭ꧀ꦄꦏ꧀ꦧꦂ Pegon : مَـسْـجِـد الْأَكْـبَـر,"59,000",Surabaya,Indonesia,Indonesian Islamic,2000
Sheikh Zayed Mosque Arabic : جامع الشيخ زايد الكبير,"50,000",Abu Dhabi,United Arab Emirates,"Persian , Mughal , Moorish",2007
Baitul Jannat Jame Mosque,"50,000",Dhaka,Bangladesh,Modern,2020
Al-Markaz Al-Islami Mosque Indonesian : Masjid Al-Markaz Al-Islami Buginese : ᨆᨔᨍᨗᨉ ᨕᨒ-ᨆᨑᨀᨍ ᨕᨒ-ᨀᨗᨔᨒᨆᨗ,"50,000",Makassar,Indonesia,"Buginese , Makassarese , Italian",1996
