Team,Titles,Runners-up,Third place,Fourth place,Total finishes in top four
Netherlands,"10 ( 1978 * , 1984 , 1987 * , 1995 , 1999 , 2003 * , 2007 , 2011 , 2015 , 2019 )",1 ( 1991 ),-,-,11
Belgium,1 ( 1991 * ),"10 ( 1978 , 1984 * , 1987 , 1995 , 1999 , 2003 , 2007 , 2011 , 2015 * , 2019 )",-,-,11
Chinese Taipei,-,-,"4 ( 1991 , 2011 , 2015 , 2019 )","2 ( 1987 , 2003 )",6
England #,-,-,"2 ( 1987 , 1999 )","3 ( 1978 , 1984 , 2015 )",5
Germany,-,-,"2 ( 1978 , 1984 )","2 ( 1991 , 1999 )",4
Czech Republic,-,-,"2 ( 2003 , 2007 * )",-,2
Portugal,-,-,1 ( 1995 ),1 ( 2007 ),2
Australia,-,-,-,1 ( 1995 ),1
Catalonia,-,-,-,1 ( 2011 ),1
China,-,-,-,1 ( 2019 ),1
