Pos,No,Driver,Constructor,Time,Gap
1,1,Michael Schumacher,Ferrari,1:33.542,-
2,4,Ralf Schumacher,Williams - BMW,1:34.032,+0.490
3,14,Mark Webber,Jaguar - Cosworth,1:34.571,+1.029
4,10,Takuma Sato,BAR - Honda,1:34.897,+1.355
5,9,Jenson Button,BAR - Honda,1:35.157,+1.615
6,16,Jarno Trulli,Toyota,1:35.213,+1.671
7,11,Giancarlo Fisichella,Sauber - Petronas,1:36.136,+2.594
8,5,David Coulthard,McLaren - Mercedes,1:36.156,+2.614
9,7,Jacques Villeneuve,Renault,1:36.274,+2.732
10,17,Olivier Panis,Toyota,1:36.420,+2.878
11,8,Fernando Alonso,Renault,1:36.663,+3.458
12,6,Kimi Räikkönen,McLaren - Mercedes,1:36.820,+3.278
13,3,Juan Pablo Montoya,Williams - BMW,1:37.653,+4.111
14,15,Christian Klien,Jaguar - Cosworth,1:38.258,+4.716
15,2,Rubens Barrichello,Ferrari,1:38.637,+5.095
16,18,Nick Heidfeld,Jordan - Ford,1:41.953,+8.411
17,19,Timo Glock,Jordan - Ford,1:43.533,+9.991
18,20,Gianmaria Bruni,Minardi - Cosworth,1:48.069,+14.527
19,21,Zsolt Baumgartner,Minardi - Cosworth,no time,no time
20,12,Felipe Massa,Sauber - Petronas,no time,no time
