Season,Champions,Runners-up,Third place,Top scorer ( s ),Goals
1992-93,Partizan ( 12 ),Red Star,Vojvodina,Anto Drobnjak ( Red Star ) Vesko Mihajlović ( Vojvodina ),22
1993-94,Partizan ( 13 ),Red Star,Vojvodina,Savo Milošević ( Partizan ),21
1994-95,Red Star ( 21 ),Partizan,Vojvodina,Savo Milošević ( Partizan ),30
1995-96,Partizan ( 14 ),Red Star,Vojvodina,Vojislav Budimirović ( Čukarički ),23
1996-97,Partizan ( 15 ),Red Star,Vojvodina,Zoran Jovičić ( Red Star ),21
1997-98,Obilić ( 1 ),Red Star,Partizan,Saša Marković ( Železnik / Red Star ),27
1998-99,Partizan ( 16 ),Obilić,Red Star,Dejan Osmanović ( Hajduk Kula ),16
1999-00,Red Star ( 22 ),Partizan,Obilić,Mateja Kežman ( Partizan ),27
2000-01,Red Star ( 23 ),Partizan,Obilić,Petar Divić ( OFK Beograd ),27
2001-02,Partizan ( 17 ),Red Star,Sartid,Zoran Đurašković ( Mladost Lučani ),27
2002-03,Partizan ( 18 ),Red Star,OFK Belgrade,Zvonimir Vukić ( Partizan ),22
2003-04,Red Star ( 24 ),Partizan,Železnik,Nikola Žigić ( Red Star ),19
2004-05,Partizan ( 19 ),Red Star,Zeta,Marko Pantelić ( Red Star ),21
2005-06,Red Star ( 25 ),Partizan,Voždovac,Srđan Radonjić ( Partizan ),20
