Composer,Composition,Date,Location,Performers
"Berio , Luciano",Mimusique No . 2,1955-10-25,Bergamo,"Albertini , Cacciari , Carpi , Chazalettes , Consonni , Nogara , Pistone , Ridoni , Tortorella , Zovianoff - Maderna"
"Blacher , Boris",Viola Concerto,1955-03-14,Cologne,Wolf / ? - Sawallisch
"Bliss , Sir Arthur",Meditation on a Theme by John Blow ( orchestral ),1955-12-13,Birmingham ( Town Hall ),City of Birmingham Symphony - Schwarz
"Bliss , Sir Arthur",Violin Concerto,1955-05-11,London,London Symphony - Sargent
"Boulez , Pierre",Le Marteau sans maître,1955-08-16,Baden-Baden,Plate / members of SWF Symphony - Rosbaud
"Boulez , Pierre",Sonatine for flute and piano,1955-06-01,Darmstadt ( Ferienkurse ),"Redel , Loriod"
"Enescu , George","Chamber Symphony , Op . 33",1955-01-23,Paris,Association of Chamber Music Concerts of Paris - Obradous
"Engelmann , Hans Ulrich","Atlantische Ballade for soprano , baritone , and string quartet",1955-06-01,Darmstadt ( Ferienkurse ),"Stix , Rehfuss , Drolc Quartet"
"Finzi , Gerald",Cello Concerto,1955-07-19,Cheltenham ( Festival ),Bunting / Hallé Orchestra - Barbirolli
"Fricker , Peter Racine",Three Movements for viola solo,1955-06-01,Darmstadt ( Ferienkurse ),Zug
"Gerhard , Roberto",Symphony No . 1,1955-06-21,Baden-Baden ( ISCM Festival ),SWF Symphony - Rosbaud
"Hanson , Howard",Sinfonia sacra ( Symphony No . 5 ),1955-02-18,Philadelphia,Philadelphia Orchestra - Ormandy
"Heiss , Hermann",Sinfonia giocosa,1955-06-04,Darmstadt ( Ferienkurse ),Landestheater-Orchester Darmstadt - Sanzogno
"Helm , Everett B",Eight minutes for two pianos,1955-06-01,Darmstadt ( Ferienkurse ),"Seemann , Schröter"
"Hovhaness , Alan","Symphony No . 2 , Mysterious Mountain",1955-10-31,Houston,Houston Symphony - Stokowski
"Klebe , Giselher","Sonata No . 2 for solo violin , Op . 20",1955-06-01,Darmstadt ( Ferienkurse ),Kolisch
"Leibowitz , René",Concerto for viola and chamber orchestra,1955-06-04,Darmstadt ( Ferienkurse ),Mann / Landestheater-Orchester Darmstadt - Sanzogno
"Lutoslawski , Witold",Dance Preludes for clarinet and piano,1955-02-15,Warsaw,"Kurkiewicz , Nadgryzowski"
"Maderna , Bruno",String Quartet,1955-06-01,Darmstadt ( Ferienkurse ),Drolc Quartet
"Martinů , Bohuslav",Fantaisies symphoniques ( Symphony No . 6 ),1955-01-05,Boston,Boston Symphony - Munch
