Name,River,Town,Country,Spans
Apollodorus Bridge ( or Trajan 's Bridge ),Danube,Turnu-Severin / Kladovo,Romania / Serbia,21 x > 30 m
Caesar 's Rhine bridges,Rhine,Koblenz,Germany,c. 26 spans
Chesters Bridge,North Tyne,Chesters,England,4 x S
Constantine 's Bridge,Danube,Corabia,Romania / Bulgaria,?
Cornelius Fuscus 's Bridge,Danube,Orlea,Romania / Bulgaria,?
Justinian 's bridge,Siberis,Sykeon,Turkey,8 x 5.4-9.6 m
London Bridge,Thames,London,England,?
Piercebridge Roman Bridge,Tees,Piercebridge,England,?
Pons Aelius,Tyne,Newcastle,England,?
Pons Sublicius,Tiber,Rome,Italy,?
Pons Tirenus,Garigliano,Minturnae,Italy,?
Römerbrücke,Mosel,Trier,Germany,?
Römerbrücke,Rhine,Cologne,Germany,20 spans
Römerbrücke,Rhine,Mainz,Germany,?
?,Churn,Cirencester,England,?
?,Eden,Hyssop Holme Well,England,?
?,Forth,?,Scotland,?
?,Irthing,Willowford,England,
?,Kelvin,Summerston,Scotland,?
?,Loire,Orléans,France,?
