Location,Restaurant,Chef ( s ),Awarded since
Annecy-le-Vieux,Clos de Sens,Laurent Petit,2019
Chagny,Maison Lameloise,Éric Pras,2007
Courchevel 1850,Le 1947 at Cheval Blanc,Yannick Alléno and Gérard Barbin,2017
Eugénie-les-Bains,Les Prés d'Eugénie - Michel Guérard,Michel Guérard,1977
Fontjoncouse,L'Auberge du Vieux Puits,Gilles Goujon,2010
La Rochelle,Christopher Coutanceau,Christopher Coutanceau,2020
Le Castellet,Christophe Bacquié,Christophe Bacquié,2018
Les Baux-de-Provence,L'Oustau de Baumanière,Glenn Viel,2020
Les Belleville,La Bouitte,René and Maxime Meilleur,2015
Marseille,Le Petit Nice,Gérald Passédat,2008
Megève,Flocons de Sel,Emmanuel Renaut,2012
Menton,Mirazur,Mauro Colagreco,2019
Monte Carlo,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,Franck Cerutti and Dominique Lory,1990
Ouches,Le Bois sans Feuilles - Troisgros,Michel and César Troisgros,1968
Paris 1,Kei,Kei Kobayashi,2020
Paris 4,L'Ambroisie,Bernard Pacaud,1988
Paris 6,Guy Savoy,Guy Savoy,2002
Paris 7,Arpège,Alain Passard,1996
Paris 8,Alain Ducasse au Plaza Athénée,Romain Meder,2016
Paris 8,Alléno Paris au Pavillon Ledoyen,Yannick Alléno,2015
