Medal,Name,Sport,Event
Gold,Toni Sailer,Alpine skiing,Men 's downhill
Gold,Toni Sailer,Alpine skiing,Men 's giant slalom
Gold,Toni Sailer,Alpine skiing,Men 's slalom
Gold,Sissy Schwarz Kurt Oppelt,Figure skating,Pairs
Silver,Anderl Molterer,Alpine skiing,Men 's giant slaom
Silver,Putzi Frandl,Alpine skiing,Women 's giant slalom
Silver,Regina Schöpf,Alpine skiing,Women 's slalom
Bronze,Anderl Molterer,Alpine skiing,Men 's downhill
Bronze,Walter Schuster,Alpine skiing,Men 's giant slalom
Bronze,Thea Hochleitner,Alpine skiing,Women 's giant slalom
Bronze,Ingrid Wendl,Figure skating,Women 's singles
