Rank,Airport,Serves,Aircraft movements,Annual change
1,Toronto Pearson International Airport,Greater Toronto Area,"430,549",2.7%
2,Vancouver International Airport,Metro Vancouver,"298,483",0.7%
3,Calgary International Airport,Calgary,"237,185",1.2%
4,Montréal-Pierre Elliott Trudeau International Airport,Greater Montreal,"232,076",6.3%
5,Ottawa Macdonald-Cartier International Airport,Ottawa,"170,946",-0.9%
6,Montréal/Saint-Hubert Airport,Greater Montreal,"165,353",-13.9%
7,Boundary Bay Airport,Greater Vancouver,"146,858",1.6%
8,Victoria International Airport,Victoria,"141,465",-3.5%
9,Winnipeg James Armstrong Richardson International Airport,Winnipeg,"137,974",2.2%
10,Edmonton International Airport,Edmonton Capital Region,"136,871",4.5%
11,Buttonville Municipal Airport,Markham,"136,575",-20.8%
12,Calgary/Springbank Airport,Calgary,"133,209",-2.6%
13,Québec City Jean Lesage International Airport,Quebec City,"128,748",1.5%
14,Billy Bishop Toronto City Airport,Toronto,"111,280",-2.4%
15,Pitt Meadows Airport,Pitt Meadows,"110,346",1.8%
16,St. Andrews Airport,Winnipeg,"104,055",-15.3%
17,Abbotsford International Airport,Abbotsford,"97,684",-4.6%
18,Region of Waterloo International Airport,Regional Municipality of Waterloo,"96,907",-2.5%
19,Thunder Bay International Airport,Thunder Bay,"96,712",8.7%
20,London International Airport,London,"94,747",-49.7%
