Medal,Name,Sport,Event
Gold,Stephanie Rice,Swimming,Women 's 400 m individual medley
Gold,Lisbeth Trickett,Swimming,Women 's 100 m butterfly
Gold,Leisel Jones,Swimming,Women 's 100 m breaststroke
Gold,Stephanie Rice,Swimming,Women 's 200 m individual medley
Gold,Stephanie Rice Bronte Barratt Kylie Palmer Linda Mackenzie Felicity Galvez * Angie Bainbridge * Melanie Schlanger * Lara Davenport *,Swimming,Women 's 4 × 200 m freestyle relay
Gold,Drew Ginn Duncan Free,Rowing,Men 's coxless pair
Gold,Scott Brennan David Crawshay,Rowing,Men 's double sculls
Gold,Emily Seebohm Leisel Jones Jessicah Schipper Libby Trickett Tarnee White * Felicity Galvez * Shayne Reese *,Swimming,Women 's 4 × 100 m medley relay
Gold,Emma Snowsill,Triathlon,Women 's triathlon
Gold,Nathan Wilmot Malcolm Page,Sailing,Men 's 470 class
Gold,Tessa Parkinson Elise Rechichi,Sailing,Women 's 470 class
Gold,Steven Hooker,Athletics,Men 's pole vault
Gold,Ken Wallace,Canoeing,Men 's K-1 500 m
Gold,Matthew Mitcham,Diving,Men 's 10 m platform
Silver,Briony Cole Melissa Wu,Diving,Women 's 10 m synchronised platform
Silver,Clayton Fredericks Lucinda Fredericks Sonja Johnson Megan Jones Shane Rose,Equestrian,Team eventing
Silver,Eamon Sullivan,Swimming,Men 's 100 m freestyle
Silver,Brenton Rickard,Swimming,Men 's 200 m breaststroke
Silver,Leisel Jones,Swimming,Women 's 200 m breaststroke
Silver,Libby Trickett,Swimming,Women 's 100 m freestyle
