Zodiac,First animal,Second animal,Third animal
Rat,Cat ( 貓 ),Rat ( 鼠 ),Bat ( 伏翼 )
Ox,Cattle ( 牛 ),Crab ( 蟹 ),Turtle ( 鱉 )
Tiger,Raccoon dog ( 狸 ),Leopard ( 豹 ),Tiger ( 虎 )
Rabbit,Fox ( 狐 ),Rabbit ( 兔 ),Badger ( 貉 )
Dragon,Dragon ( 龍 ),Shark ( 鮫 ),Fish ( 魚 )
Snake,Cicada ( 蟬 ),Carp ( 鯉 ),Snake ( 蛇 )
Horse,Deer ( 鹿 ),Horse ( 馬 ),Roebuck ( 麞 )
Goat,Sheep ( 羊 ),Goose ( 雁 ),Hawk or falcon ( 鷹 )
Monkey,Gibbon ( 狖 ),Ape ( 猿 ),Monkey ( 猴 )
Rooster,Raven ( 烏 ),Chicken ( 雞 ),Pheasant ( 雉 )
Dog,"Dog ( 狗 , see Inugami )",Wolf ( 狼 ),"Ch . Dhole , Ja . Honshu wolf ( 豺 )"
Pig,Pig ( 豕 ),Domestic pig ( 豕 俞 ),Wild boar ( 豬 )
